paper, title, mission/instruments, models, manually reviewed, CMR datasets
VZATL3V6,2017_Douglass_Multi-decadal records of stratospheric composition and their relationship to.pdf,'aura/mls'(7); 'uars/haloe'(3); 'uars/mls'(1), 'merra'(19); 'merra-2'(19),ML2N2O;UARHA3AT;UARHA2FN,ML2HNO3;GozMmlpHCl;ML2N2O;UARHA2FN
TK2UVWFG,2016_Lambert_Interannual variations of early winter Antarctic polar stratospheric cloud.pdf,'aura/mls'(5), 'geos-5'(7); 'merra'(3); 'merra-2'(3),ML2H2O;ML2HNO3;M2I3NVASM,
FZY4IDZ8,2018_Kuttippurath_Emergence of ozone recovery evidenced by reduction in the occurrence of.pdf,'aura/mls'(8); 'aura/omi'(2), ,ML2O3;OMNO2,ML2O3
BQD9VNRP,2012_Kuttippurath_Record-breaking ozone loss in the Arctic winter 2010-2011.pdf,'aura/mls'(19); 'uars/mls'(11), ,UARML3AL;ML2CLO;ML2O3,ML2CLO;ML2O3;ML2HNO3;GozMmlpO3;UARML3AL
Z23YS2EW,2019_Ziemke_Trends in global tropospheric ozone inferred from a composite record of.pdf,'aura/omi'(6); 'aura/mls'(5); 'nimbus-7/toms'(1), 'merra'(26); 'merra-2'(23); 'geos-chem'(1),OMTO3d;OMPS_NPP_NMTO3_L3_DAILY;OMPS_NPP_LP_L2_O3_DAILY;TOMSEPL3dtoz;TOMSN7L3dtoz;ML2O3;M2I3NVASM;M2I6NVANA,OMTO3e;ML2O3
C2I3FN6Z,2019_Yuan_Relationship between Asian monsoon strength and transport of surface aerosols.pdf,, 'merra'(10); 'merra-2'(10); 'geos-5'(1),M2I3NVASM;M2I6NVANA;M2I3NVAER;M2T1NXFLX,
MJ6G2TTX,2019_Tao_Multitimescale variations in modeled stratospheric water vapor derived from.pdf,'aura/mls'(7); 'uars/haloe'(1); 'uars/mls'(1), 'merra'(36); 'merra-2'(35),ML2H2O;M2I3NVASM;M2I3NPASM;M2I6NPANA;M2I6NVANA;M2T3NPRAD;M2T3NVRAD,ML2O3;ML2H2O
RRKIRW7J,2018_Schoeberl_Convective Hydration of the Upper Troposphere and Lower Stratosphere.pdf,'aura/mls----level 2'(1), 'merra'(30); 'merra-2'(12); 'geos-5'(1),ML2H2O;MAT3CPCLD;MAT3CPMST;M2I3NPASM;M2I3NVASM;M2I6NPANA;M2I6NVANA;M2I1NXINT,
6EZCZERA,2018_Lau_Origin Maintenance and Variability of the Asian Tropopause Aerosol Layer (ATAL).pdf,, 'merra'(13); 'geos-5'(1),ML2CO;GPCPMON;M2T1NXAER;M2TMNXAER;M2T1NXFLX;M2TMNXFLX,
9LNN726M,2017_Nielsen_Chemical Mechanisms and Their Applications in the Goddard Earth Observing.pdf,'aura/omi'(3); 'aura/mls'(2), 'geos-chem'(3); 'merra'(3); 'merra-2'(3); 'geos-5'(2),ML2O3;OMTO3d;M2T1NXCHM;M2TMNXCHM,
IT6XWXW2,2017_Millán_An assessment of ozone mini-hole representation in reanalyses over the Northern.pdf,'aura/omi'(1); 'aura/mls'(1), 'merra'(32); 'merra-2'(30),OMTO3d;ML2O3;M2I3NVASM;M2I3NVCHM;M2I6NVANA;M2T3NVASM,
5GLXMKGV,2016_Nedoluha_20 years of ClO measurements in the Antarctic lower stratosphere.pdf,'aura/mls'(9); 'uars/mls'(5), 'merra'(12); 'geos-5'(1),ML2CLO;MAI3CPASM,ML2CLO;UARML3AL
G7FSCEDQ,2016_Chakraborty_Relative influence of meteorological conditions and aerosols on the lifetime of.pdf,'aura/mls'(2); 'aqua/modis'(1), 'merra'(4),ML2IWC;MAI3CPASM;MAI6NPANA,
4LGQXPHH,2015_Vergados_On the comparisons of tropical relative humidity in the lower and middle.pdf,, 'merra'(29),MAIMCPASM,
ERAK7MW7,2015_Schwartz_Climatology and variability of trace gases in extratropical double-tropopause.pdf,'aura/hirdls'(5); 'aura/mls'(4), 'geos-5'(10); 'merra'(5),ML2H2O;ML2CO;ML2O3;ML2HNO3;HIRDLS2;MAI6NVANA,
PJGR4ZXI,2015_Dolinar_Evaluation of CMIP5 simulated clouds and TOA radiation budgets using NASA.pdf,'aqua/modis'(1); 'terra/modis'(1), 'merra'(4),MAI3CPASM;MAIMCPASM,
A74TVKV9,2013_Pitts_An assessment of CALIOP polar stratospheric cloud composition classification.pdf,'aura/mls'(12), 'geos-5'(13),ML2H2O;ML2HNO3;MAI6NVANA,ML2HNO3;ML2T;ML2H2O
Y6NDJJJ7,2013_Dessler_Stratospheric water vapor feedback.pdf,'aura/mls'(1), 'merra'(9),ML2H2O;MAI6NVANA;MAI6NPANA,
T4ELU5P6,2010_Jiang_Five year (2004–2009) observations of upper tropospheric water vapor and cloud.pdf,'aura/mls'(4); 'aura/mls----level 2'(1), ,ML2T;ML2IWC;ML2H2O;MAI6NVANA,ML2H2O
XTPV6ACN,2018_Strode_Forecasting carbon monoxide on a global scale for the ATom-1 aircraft mission.pdf,'aura/mls'(1); 'aqua/modis'(1), 'geos-5'(28),ML2CO,
PJ77PRIF,2008_Pumphrey_Tropical tape recorder observed in HCN.pdf,'aura/mls'(1), ,ML2HCN;ML2H2O;ML2CO,
WYEWPG92,2018_Anderson_Coupling free radical catalysis climate change and human health.pdf,'aura/mls'(2), ,ML2HCL;ML2H2O;ML2O3;ML2HNO3,ML2O3
Q8I5DQJJ,2012_Flury_Correlation among cirrus ice content water vapor and temperature in the TTL as.pdf,'aura/mls'(6); 'uars/haloe'(1), 'geos-5'(2),ML2H2O;ML2T;ML2IWC,ML2T;ML2H2O
IBC42LCF,2010_Solomon_Contributions of Stratospheric Water Vapor to Decadal Changes in the Rate of.pdf,'uars/haloe'(3); 'aura/mls'(2); 'uars/mls'(2), ,ML2H2O;UARHA2FN;UARHA3AT,GozMmlpH2O;ML2H2O
DZZPS9HK,2015_Kirner_Contribution of liquid NAT and ice particles to chlorine activation and ozone.pdf,'aura/mls'(1), ,ML2CLO;ML2HNO3;ML2O3,
YFTIXDRA,2010_Santee_Constraining the chlorine monoxide (ClO)-chlorine peroxide (ClOOCl) equilibrium.pdf,'aura/mls'(5), 'geos-5'(3),ML2CLO,ML2CLO
2PJBW6LG,2017_Shi_Composition and Thermal Structure of the Upper Troposphere and Lower.pdf,'aura/mls'(1); 'aqua/airs----level 2'(1), ,ML2T;ML2O3;ML2H2O;AIRX2RET,
QK7PQL9X,2013_Hassler_Comparison of three vertically resolved ozone data sets.pdf,'aura/mls'(2); 'uars/mls'(2), ,UARHA2FN;UARHA3AT;UARML3AT;UARML3AL;ML2O3;SBUVN07L3zm;SBUV2N09L3zm;SBUV2N09L3zm;SBUV2N11L3zm;SBUV2N14L3zm;SBUV2N16L3zm;SBUV2N17L3zm;TOMSN7L3;TOMSEPL3,
8ZV9WXY8,2015_Pendlebury_Comparison of the CMAM30 data set with ACE-FTS and OSIRIS.pdf,'aura/mls'(26), 'merra'(2),ML2O3;ML2H2O;ML2HNO3;ML2CLO;ML2HCL,ML2T;ML2CLO;GozMmlpHCl;ML2O3;ML2HNO3;ML2H2O
HVRRPGRB,2008_Ekström_Comparison of satellite limb-sounding humidity climatologies of the uppermost.pdf,'aura/mls'(28); 'uars/mls'(22); 'uars/claes'(1), ,UARML3AL;UARML3AL;ML2RHI,UARML3AT;ML2RHI
SA2LIWHA,2017_Moreira_Comparison of ozone profiles and influences from the tertiary ozone maximum in.pdf,'aura/mls'(2); 'aura/mls----level 2'(1), ,ML2O3,
87RN5BQS,2017_Shi_Comparison of Electrochemical Concentration Cell Ozonesonde and Microwave Limb.pdf,'aura/mls'(2), ,ML2O3,
DUEN7U3P,2018_Khosrawi_Comparison of ECHAM5-MESSy Atmospheric Chemistry (EMAC) simulations of the.pdf,'aura/mls'(44); 'uars/mls'(1), ,ML2HNO3;ML2T,ML2HNO3;ML2T
4EI495XC,2009_Jin_Comparison of CMAM simulations of carbon monoxide (CO) nitrous oxide (N.pdf,'aura/mls'(3), ,ML2CO;ML2N2O,ML2CO;ML2N2O
D82QF2ZV,2019_Emili_Comparison between the assimilation of IASI Level 2 ozone retrievals and Level.pdf,'aura/mls'(1); 'aura/mls----level 2'(1), ,ML2O3,
WAGN7SRI,2007_Hocke_Comparison and synergy of stratospheric ozone measurements by satellite limb.pdf,'aura/mls'(82); 'uars/haloe'(4); 'uars/mls'(4), ,ML2O3;UARHA2FN;UARHA3AT,ML2T;ML2O3
5XRRABBL,2016_Duderstadt_Comment on “Atmospheric ionization by high-fluence hard spectrum solar proton.pdf,, ,ML2HNO3,
7BYUM9SI,2013_Fromm_Comment on Large Volcanic Aerosol Load in the Stratosphere Linked to Asian.pdf,, ,ML2SO2;OMSO2e;OMTO3d,
HMRXVUQX,2014_Emili_Combined assimilation of IASI and MLS observations to constrain tropospheric.pdf,'aura/mls'(1); 'aura/omi'(1), ,ML2O3;OMDOAO3e,
2S7DN76T,2011_Nair_Coherence of long-term stratospheric ozone vertical distribution time series.pdf,'aura/mls'(28); 'uars/mls'(15); 'uars/haloe'(6); 'noaa-16/sbuv/2'(2); 'nimbus-7/sbuv'(1); 'erbs/sage ii'(1), ,UARHA2FN;UARHA3AT;ML2O3;ML2GPH;UARML3AL;UARML3AT;SBUVN07L2;SBUV2N09L2;SBUV2N11L2;SBUV2N16L2;SBUV2N17L2,GozMmlpO3;ML2O3;MSO3L3zm5
EVU5H5NP,2008_Clerbaux_CO measurements from the ACE-FTS satellite instrument.pdf,'aura/mls'(6), ,ML2CO,
KYLGQQWC,2012_Hoffmann_CO at 40–80 km above Kiruna observed by the ground-based microwave radiometer.pdf,'aura/mls'(2), 'geos-5'(7),ML2CO,
XWGV2HK2,2008_Jiang_Clean and polluted clouds.pdf,'aqua/modis'(8); 'aura/mls'(7); 'aura/mls----level 2'(1); 'aqua/modis----level 2'(1), ,ML2CO;ML2IWC;TRMM_3B42,ML2CO
AHQJ9REM,2005_Davis_Cirrus induced polarization in 122 GHz aura Microwave Limb Sounder radiances.pdf,'aura/mls'(7); 'aura/mls----level 1'(1), ,ML2IWC,
2FEIY3YN,2006_Schoeberl_Chemical observations of a polar vortex intrusion.pdf,'aura/mls'(3); 'aura/mls----level 2'(1); 'uars/mls----level 2'(1), ,ML2HCL;ML2CLO;ML2HNO3;ML2H2O;ML2HCL;ML2N2O;ML2O3,ML2O3
889V2DKF,2006_McCormack_CHEM2D-OPP.pdf,'aura/mls'(11); 'uars/haloe'(1), ,ML2T;ML2O3,ML2T;ML2O3
KREZXEZH,2007_Pitts_Characterization of Polar Stratospheric Clouds with spaceborne lidar.pdf,'aura/mls'(4), ,ML2HNO3;ML2H2O,ML2HNO3;ML2H2O
NW6GYGIB,2010_Liang_Characterization of merged AIRS and MLS water vapor sensitivity through.pdf,'aura/mls'(3); 'aqua/airs'(3), ,ML2H2O;AIRX3SPD;AIRS3SPD,ML2H2O;AIRX3STD
RBN8SSJA,2017_Sun_Characteristics of Water Vapor in the UTLS over the Tibetan Plateau Based on.pdf,'aura/mls'(3), ,ML2H2O,
N3KJINPR,2015_He_CESM-CAM5 improvement and application.pdf,'aura/omi'(3); 'aura/mls'(3), 'geos-5'(2),ML2O3;OMTO3,OMTO3e;ML2CO;ML2N2O;ML2O3;OMI_MINDS_NO2;ML2H2O;OMNO2d
4GXB9JIK,2009_Pitts_CALIPSO polar stratospheric cloud observations.pdf,'aura/mls'(7), 'geos-5'(1),ML2HNO3;ML2H2O,ML2HNO3;ML2H2O
MPHE262U,2016_Huijnen_C-IFS-CB05-BASCOE.pdf,'aura/mls'(8), ,ML2O3;ML2CLO;ML2H2O;ML2HCL,GozMmlpHCl;ML2T;ML2O3;ML2H2O
UZ8ANWJT,2013_Berthet_Balloon-borne observations of mid-latitude stratospheric water vapour.pdf,'aura/mls'(6); 'uars/haloe'(1), ,UARHA2FN;UARHA3AT;ML2H2O,ML2H2O
WHWQLEKW,2011_Day_Aura MLS observations of the westward-propagating is-i =1 16-day planetary.pdf,'aura/mls'(7), ,ML2T,ML2T
KJXTN5FF,2019_RavindraBabu_Indian summer monsoon onset signatures on the tropical tropopause layer.pdf,, ,ML2H2O;ML2O3,
757H35IL,2012_Kvissel_Formation of stratospheric nitric acid by a hydrated ion cluster reaction.pdf,'aura/mls'(4); 'uars/mls'(1); 'aura/hirdls'(1), ,ML2HNO3,ML2HNO3
JPZEA2QH,2016_Huntrieser_Injection of lightning-produced NOx water vapor wildfire emissions and.pdf,'aura/mls'(8); 'aqua/modis'(1), 'merra'(1); 'geos-chem'(1),ML2H2O,ML2H2O
9KDW3PM3,2015_Strode_Implications of carbon monoxide bias for methane lifetime and atmospheric.pdf,, 'merra'(5); 'geos-5'(3),OMTO3;ML2O3,
HMFBIFGL,2016_Verkhoglyadova_Nighttime mesospheric hydroxyl enhancements during SEP events and accompanying.pdf,'aura/mls'(5), ,ML2OH,ML3DBOH
LMNC3DN5,2010_Kikuchi_Overview and early results of the Superconducting Submillimeter-Wave.pdf,'aura/mls'(3), ,ML2O3;ML2HCL;ML2HNO3;ML2CLO;ML2HO2,ML2T
C77JA4DV,2005_Santee_Polar processing and development of the 2004 Antarctic ozone hole.pdf,'uars/mls'(3); 'aura/mls'(1), ,ML2T;ML2N2O;ML2HNO3;ML2HCL;ML2H2O;ML2CLO;ML2O3,UARML3AL
TH5P6MXA,2007_Strahan_Observationally derived transport diagnostics for the lowermost stratosphere.pdf,'aura/mls'(1), 'geos-chem'(1),ML2N2O;ML2O3,
5X3GDEGN,2017_Sakazaki_Representation of solar tides in the stratosphere and lowermesosphere in.pdf,'aura/mls'(7); 'uars/mls'(3); 'noaa-9/tovs'(1); 'noaa-11/tovs'(1), 'merra'(18); 'merra-2'(16),ML2T,UARML3AL;ML2T
DQBUT3ME,2016_Ern_Satellite observations of middle atmosphere gravity waveabsolute momentum flux.pdf,'aura/mls'(4); 'aura/hirdls'(1); 'aura/hirdls----level 2'(1); 'aura/mls----level 2'(1), ,ML2T;ML2GPH,
HJYQMMPY,2016_Wegner_Vortex-wide chlorine activation by a mesoscale PSC event in the Arctic winter.pdf,'aura/mls'(1), 'merra'(2),ML2HCL,
N2AR6Z8U,2016_Liu_Using beryllium-7 to assess cross-tropopause transport in global models.pdf,, 'geos-chem'(4),OMTO3,
IQUJEZS2,2008_Schwartz_Validation of the Aura Microwave Limb Sounder temperature and geopotential.pdf,'aura/mls'(6); 'aqua/airs'(2); 'aqua/hsb'(1); 'uars/haloe'(1), 'geos-5'(37),ML2GPH;ML2T,
Q2UZZELC,2007_Duncan_Model study of the cross-tropopause transport of biomass burning pollution.pdf,'aura/mls----level 2'(1), ,ML2CO,
V9URPX8M,2007_Chandra_Effects of the 2004 El Niño on tropospheric ozone and water vapor.pdf,'aura/omi'(6); 'aura/mls'(6), ,ML2O3;ML2H2O;OMTO3,OMTO3e;ML2O3;ML2H2O
HRTT7Q5Y,2018_Yi_High- and Middle-Latitude Neutral Mesospheric Density Response to Geomagnetic.pdf,'aura/mls'(2), ,ML2T;ML2GPH,
44ZB7BDQ,2014_Andersson_Longitudinal hotspots in the mesospheric OH variations due to energetic.pdf,'aura/mls'(3), ,ML2OH,
NQRJNBPG,2019_Diallo_Structural changes in the shallow and transition branch of the Brewer–Dobson.pdf,'aura/mls'(5), ,ML2O3,ML2O3
458ZCPDQ,2008_Damiani_Solar particle effects on minor components of the Polar atmosphere.pdf,'aura/mls'(4), ,ML2OH;ML2O3,ML3DBOH
RAM2KJTQ,2012_Chandran_Atmospheric gravity wave effects on polar mesospheric clouds.pdf,'aura/mls'(2), ,ML2H2O,ML2H2O
55Q23KWQ,2017_Park_Variability of Stratospheric Reactive Nitrogen and Ozone Related to the QBO.pdf,'aura/mls'(2), 'merra'(3),ML2O3;ML2HNO3;ML2N2O,
86C5YB5R,2016_Nakajima_Polar stratospheric cloud evolution and chlorine activation measured by CALIPSO.pdf,'aura/mls'(6), 'merra'(2),ML2HCL;ML2CLO;ML2O3;ML2H2O,GozMmlpHCl
UU2LRLDX,2016_Liu_Persistent longitudinal variations in 8 years of CIPS-AIM polar mesospheric.pdf,'aura/mls'(15); 'aura/omi'(1), ,ML2H2O;ML2T,ML2T;ML2H2O
HTE93NAQ,2013_Strahan_The contributions of chemistry and transport to low arctic ozone in March 2011.pdf,'aura/mls'(4); 'aura/omi'(2); 'aura/mls----level 2'(1), 'merra'(4); 'geos-5'(1),OMTO3;ML2N2O;ML2O3,ML2N2O;OMTO3e;ML2O3
RERPGFGZ,2009_Meek_Summer planetary-scale oscillations.pdf,'aura/mls'(6), ,ML2T,ML2T
QAACL243,2015_Lukianova_Thermal and dynamical perturbations in the winter polar mesosphere‐lower.pdf,'aura/mls'(9), 'merra'(6),ML2GPH;ML2T,ML2T
MJC58VZV,2008_Su_Variations of tropical upper tropospheric clouds with sea surface temperature.pdf,'aura/mls'(2); 'aqua/airs'(1); 'aura/mls----level 2'(1); 'aqua/amsr-e'(1), ,AIRS2RET;ML2IWC,
Y8FUQNXA,2012_Søvde_The chemical transport model Oslo CTM3.pdf,, 'geos-chem'(1),ML2HNO3;ML2N2O,
I5XTBFPM,2008_Nilsson_Simultaneous observations of Polar Mesosphere Summer Echoes at two different.pdf,'aura/mls'(9), ,ML2T;ML2GPH;ML2H2O,ML2T;ML2H2O
YBU6DSGY,2008_James_Water vapor transport and dehydration above convective outflow during Asian.pdf,'aura/mls----level 2'(1); 'aura/mls'(1), ,ML2H2O,
5Z7WZUAV,2012_Barré_Stratosphere-troposphere ozone exchange from high resolution MLS ozone analyses.pdf,'aura/mls'(1), ,ML2O3,
6X2XYMS7,2011_Lee_Aura Microwave Limb Sounder observations of the polar middle atmosphere.pdf,'aura/mls'(8); 'uars/haloe'(2); 'uars/claes'(1); 'uars/mls'(1), 'merra'(1),ML2GPH;ML2CO;ML2H2O,ML2CO;ML2H2O;ML2GPH;UARHA2FN
QNDVP8XS,2008_Hoppel_Assimilation of stratospheric and mesospheric temperatures from MLS and SABER.pdf,'aura/mls'(1), 'geos-5'(2),ML2T,
PX9VECVZ,2013_Khosrawi_Assessment of the interannual variability and influence of the QBO and.pdf,'aura/mls'(44); 'uars/mls'(1), ,ML2O3;ML2N2O,ML2N2O;ML2T;ML2O3
NF477FR3,2014_Adams_Assessment of Odin-OSIRIS ozone measurements from 2001 to the present using.pdf,'aura/mls'(1), ,ML2O3,
BS3AGC4A,2010_Kar_Are there urban signatures in the tropospheric ozone column products derived.pdf,'aura/omi'(1); 'aura/mls'(1), ,ML2O3;OMTO3d;TOMSEPL3;TOMSN7L3;SBUVN07L3zm;SBUV2N09L3zm;SBUV2N11L3zm;SBUV2N14L3zm,
Y8CALVHT,2014_Engel_Arctic stratospheric dehydration – Part 2.pdf,'aura/mls'(7), ,ML2HNO3;ML2H2O,ML2HNO3;ML2T;ML2H2O
FEUGVBVF,2013_Khaykin_Arctic stratospheric dehydration – Part 1.pdf,'aura/mls'(7), ,ML2H2O,ML2T;ML2H2O
GLL5DKB6,2010_Konopka_Annual cycle of ozone at and above the tropical tropopause.pdf,'aura/mls'(3), ,ML2O3;UARHA3FN;UARHA3AT,ML2O3
FNMUYAEN,2017_Vogel_Analyzing trace gas filaments in the Ex-UTLS by 4D-variationalassimilation of.pdf,, ,ML2O3,
VDUPV2QD,2009_Manney_Aura Microwave Limb Sounder observations of dynamics and transport during the.pdf,'aura/mls'(4), 'geos-5'(8),ML2CO;ML2T;ML2CLO;ML2HCL;ML2O3;ML2GPH;MAI6NPANA,ML2T
QGCT3FH8,2010_Kar_Wintertime pollution over the Eastern Indo-Gangetic Plains as observed from.pdf,'terra/modis'(1), ,ML2O3;OMTO3d;TOMSEPL3;TOMSN7L3;SBUVN07L3zm;SBUV2N09L3zm;SBUV2N11L3zm;SBUV2N14L3zm,
QF63BZLW,2015_Lefever_Copernicus stratospheric ozone service 2009–2012.pdf,'aura/mls'(10); 'aura/omi'(3); 'noaa-19/sbuv/2'(1); 'noaa-18/sbuv/2'(1), ,ML2O3,ML2O3
66AVP9CR,2010_Fadnavis_Seasonal stratospheric intrusion of ozone in the upper troposphere over India.pdf,'aura/mls'(1), ,ML2O3,
IXMQ3NZL,2014_Stolarski_Seasonal variation of ozone in the tropical lower stratosphere.pdf,'aura/mls'(12), 'merra'(4),ML2O3;ML2N2O;ML2HCL,ML2N2O;ML2O3;GozMmlpHCl
QJYQLFFY,2010_French_Stability of temperatures from TIMED-SABER v1.pdf,'aura/mls'(2); 'aura/mls----level 2'(1), ,ML2T;ML2GPH,
GT9KT8YP,2019_Griffin_Stratospheric ozone loss in the Arctic winters between 2005 and 2013 derived.pdf,'aura/mls'(8), 'geos-5'(1); 'merra'(1); 'merra-2'(1),ML2O3,ML2O3
ILJHCTB6,2015_Dionisi_Water vapor observations up to the lower stratosphere through the Raman lidar.pdf,'aura/mls'(1), ,ML2H2O,
S9EZK93R,2018_Noël_Water vapour and methane coupling in the stratosphere observed using SCIAMACHY.pdf,'uars/haloe'(1), ,ML2H2O,
XHRKV4CV,2014_Su_Weakening and strengthening structures in the Hadley Circulation change under.pdf,'aura/mls'(2); 'aqua/airs'(1), ,ML2RHI,
2YWWWXGP,2015_Randel_What controls stratospheric water vapor in the NH summer monsoon regions.pdf,'aura/mls----level 2'(1); 'aura/mls'(1), ,ML2H2O,
YZ3CWJ9F,2015_Manney_A minor sudden stratospheric warming with a major impact.pdf,'aura/mls'(3), 'geos-5'(4); 'merra'(1),ML2CLO;ML2HCL;ML2N2O;ML2T;ML2CO;ML2CH3CL;ML2HNO3;MAI3CPASM,
SYBA2274,2009_Li_What drives the observed variability of HCN in the troposphere and lower.pdf,'aura/mls'(7), 'geos-chem'(24); 'geos-5'(4),ML2OH,ML3DBHCN
26BXF8CP,2016_Zhu_Analysis of the seasonal ozone budget and the impact of the summer monsoon on.pdf,'aura/omi'(1); 'aura/mls'(1), ,ML2O3;OMTO3,
9YQLTGB6,2011_Jones_Analysis of HCl and ClO time series in the upper stratosphere using satellite.pdf,'aura/mls'(4); 'uars/haloe'(1); 'uars/mls'(1), ,UARHA3AT;UARHA2FN;ML2CLO,ML2CLO
25L6CU6M,2011_Tunbridge_Zonal wave numbers of the summertime 2 day planetary wave observed in the.pdf,'aura/mls'(9); 'uars/mls'(2); 'uars/windii'(1); 'uars/hrdi'(1), ,ML2T,ML2T
WIEFJTCX,2012_Reddy_Analysis of Diurnal and Seasonal Behavior of Surface Ozone and Its Precursors.pdf,'aura/omi'(1); 'aura/mls'(1), ,OMTO3e;OMTO3d;ML2O3;OMNO2d;ML2NO2,
Z9A27S6H,2010_Junhua Liu_Analysis of CO in the tropical troposphere using Aura satellite data and the.pdf,'aura/mls'(2), 'geos-5'(77); 'geos-chem'(16),ML2CO;MAT3NVCHM,
V8GW6Q7B,2019_Orte_Analysis of a southern sub-polar short-term ozone variation event using a.pdf,'aura/mls'(5); 'aura/omi'(2), ,OMDOAO3;ML2O3,ML2O3
Q95CTLE7,2010_Bencherif_Analysis of a rapid increase of stratospheric ozone during late austral summer.pdf,'aura/mls'(21); 'aura/omi'(9), ,ML2O3;ML2H2O;OMTO3d,ML2CO;ML2N2O;OMTO3e;ML2O3
HXVL6ENX,2015_Jiang_An assessment of upper troposphere and lower stratosphere water vapor in MERRA.pdf,'aura/mls'(21); 'aqua/airs'(2); 'aura/mls----level 2'(1); 'uars/haloe'(1); 'uars/mls'(1), 'merra'(62); 'merra-2'(2),ML2H2O;MAI3CPASM;M2I3NPASM,ML2H2O;AIRX3STD
CLVIGQAD,2010_Thomason_An evaluation of the SAGE III version 4 aerosol extinction coefficient and.pdf,'aura/mls'(1); 'uars/haloe'(1), ,UARHA3AT;UARHA2FN;ML2H2O,
CRF3Q2SX,2017_Steinbrecht_An update on ozone profile trends for the period 2000 to 2016.pdf,'aura/mls'(4), ,ML2O3;UARHA3AT;UARHA2FN;GozSmlpO3;GozMmlpO3;OMPS_NPP_NPBUVO3_L2;OMPS_NPP_LP_L2_O3_DAILY;SBUV2N11L2;SBUV2N11L3zm;SBUV2N14L2;SBUV2N14L3zm;SBUV2N16L2;SBUV2N16L3zm;SBUV2N17L2;SBUV2N17L3zm;SBUV2N18L2;SBUV2N18L3zm;SBUV2N19L2;SBUV2N19L3zm,ML2O3
GSKAN26M,2016_Ball_An upper-branch Brewer–Dobson circulation index for attribution of.pdf,, 'merra'(7),GozSmlpO3;GozMmlpO3;SBUV2N14L2;SBUV2N16L2;SBUV2N19L3zm;SBUV2N17L2;SBUV2N16L3zm;SBUVN07L3zm;SBUV2N11L2;SBUV2N09L2;SBUV2N14L3zm;SBUV2N17L3zm;SBUVN07L2;SBUV2N18L3zm;SBUV2N11L3zm;SBUV2N19L2;SBUV2N09L3zm;SBUV2N18L2;MAI3CPASM;MAI6NPANA;MAT1NXSLV,
VWREDJ8V,2013_Verronen_Analysis and parameterisation of ionic reactions affecting middle atmospheric.pdf,'aura/mls'(2), ,ML2T;ML2H2O,ML2T;ML2H2O
2L8JGAAW,2017_Hocke_An Atlantic streamer in stratospheric ozone observations and SD-WACCM.pdf,'aura/mls'(36), ,ML2O3;ML2H2O,ML2O3;ML2H2O
QZ4QEAA6,2012_Lambert_A-train CALIOP and MLS observations of early winter Antarctic polar.pdf,'aura/mls'(7); 'aqua/airs'(2); 'aqua/modis'(1); 'uars/mls'(1), 'geos-5'(19),ML2HNO3;ML2O3;ML2H2O;AIRIBRAD;AIRVBRAD;MAI6NVANA,
H6QQWJXD,2009_Jiang_Aerosol-CO relationship and aerosol effect on ice cloud particle size.pdf,'aqua/modis'(2); 'aura/mls'(2); 'aqua/modis----level 2'(1), ,ML2CO;ML2IWC,
T96P68QW,2009_Joiner_Accurate satellite-derived estimates of the tropospheric ozone impact on the.pdf,'aqua/modis'(2); 'aura/mls'(1); 'aqua/airs'(1); 'aqua/amsu-a'(1), 'geos-5'(9),OMCLDRR;OMTO3;ML2O3;MAI3CPASM;MAT1NXSLV,
E79DEHJ4,2015_Miyazaki_A tropospheric chemistry reanalysis for the years 2005–2012 based on an.pdf,'aura/omi'(2); 'aura/mls'(1), ,ML2HNO3;ML2O3;OMNO2,
H74MG8X5,2007_Schoeberl_A trajectory-based estimate of the tropospheric ozone column using the residual.pdf,'aura/mls'(11); 'aura/omi'(7); 'uars/mls'(2), ,ML2O3;OMTO3,OMTO3e;ML2O3
RZ5JML2I,2019_Rochon_A study on harmonizing total ozone assimilation with multiple sensors.pdf,'aura/omi'(1); 'suomi-npp/omps'(1), ,OMTO3;OMPS_NPP_NPBUVO3_L2;OMPS_NPP_NMTO3_L2;SBUV2N19L2;SBUVN7O3,
VDAZZKB4,2015_Ploeger_A potential vorticity-based determination of the transport barrier in the Asian.pdf,'aura/mls'(1), ,ML2O3;ML2CO,
DQGKZ3QP,2016_Akiyoshi_A nudged chemistry-climate model simulation of chemical constituent.pdf,'aura/mls'(5); 'uars/mls'(1), ,ML2CLO;ML2O3;ML2HCL;ML2N2O,ML2CLO;ML2O3;GozMmlpHCl
WKDAMWU5,2011_Michou_A new version of the CNRM Chemistry-Climate Model CNRM-CCM.pdf,'uars/haloe'(1); 'aura/mls'(1), ,UARHA3AT;UARHA2FN;ML2CO,
BBSGZL35,2009_Tao_A Multiscale Modeling System.pdf,'trmm/tmi'(1); 'aqua/amsr-e'(1); 'dmsp/ssm/i'(1), ,ML2IWC;GPCPMON,
CH4WGFHX,2015_Livesey_A Match-based approach to the estimation of polar stratospheric ozone loss.pdf,'aura/mls'(3), 'geos-5'(3),ML2N2O;ML2O3;ML2CLO,
F79J378V,2007_Davis_3-D polarised simulations of space-borne passive mm-sub-mm midlatitude cirrus.pdf,'aura/mls'(1), ,ML2IWC,
