paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
DT6TGB86,2020_Sogacheva_Merging regional and global aerosol optical depth records from major available.pdf,'terra/modis'(4); 'aqua/modis'(3); 'nimbus-7/toms'(1), ,OMAERUV;SWDB_L3M10;TOMSEPL2;TOMSN7L2;TOMSEPL3;TOMSN7L3,,,,0, 6, 0
E7JHRVCH,2019_Ren_Lightning and Associated Convection Features in the Presence of Absorbing.pdf,'aqua/modis'(4); 'aura/omi'(1), 'merra'(9),M2I3NPASM;M2I3NVASM;M2T1NXFLX;M2T1NXSLV;OMTO3,,,,0, 5, 0
ILKCY4X5,2020_Gordon_Evidence for energetic particle precipitation and quasi-biennial oscillation.pdf,'aura/omi'(2); 'aura/mls'(2); 'uars/haloe'(1); 'scisat-1/ace/ace-fts'(1); 'aura/omi----level 2'(1), ,ML2HNO3;ML2OH;ML2T;OMDOAO3;OMNO2G;OMPIXCORZ;OMTO3G,ML2T;ML2HNO3;OMI_MINDS_NO2,,,2, 5, 1
2ZZ72XPQ,2019_Kacenelenbogen_Estimations of global shortwave direct aerosol radiative effects above opaque.pdf,'aqua/modis'(6); 'terra/modis'(2), 'geos-5'(1),OMAERO;OMAERUV,,,,0, 2, 0
LJJ4NEIF,2018_Sarkar_Crop Residue Burning in Northern India.pdf,'terra/modis'(3); 'aura/omi'(3); 'aqua/modis'(2); 'aqua/airs'(1), 'merra'(5); 'merra-2'(2),AIRS3STD;M2TMNXAER;OMAEROe;OMAERUVd,,,,0, 4, 0
F2ZKI99D,2020_Fioletov_Anthropogenic and volcanic point source SOsub2-sub emissions derived from.pdf,'sentinel-5p/tropomi'(4); 'aura/omi'(3); 'suomi-npp/omps'(1), ,MSAQSO2L4;OMPS_NPP_NMSO2_PCA_L2;OMSO2;S5P_L2__SO2____HiR;S5P_L2__SO2____,,,,0, 5, 0
KK5T5FAG,2020_Huijnen_An intercomparison of tropospheric ozone reanalysis products from CAMS CAMS.pdf,'aura/mls'(3); 'aura/omi'(2); 'noaa-19/sbuv/2'(1); 'noaa-14/sbuv/2'(1), ,ML2O3;OMNO2;OMSO2,OMTO3e;GozMmlpO3,,,0, 3, 2
LTTW7HBG,2018_Lambert_Accuracy and precision of polar lower stratospheric temperatures from.pdf,'aura/mls'(5); 'aqua/airs'(1), 'merra'(26); 'merra-2'(17); 'geos-5'(10),ML2H2O;ML2HNO3;ML2T,,,,0, 3, 0
TB4GIJ7Y,2020_Liu_A methodology to constrain carbon dioxide emissions from coal-fired power.pdf,'aura/omi'(1), 'merra-2'(4); 'merra'(4),OMNO2;OMVFPITMET,,,,0, 2, 0
PXKGZS94,2018_Itahashi_A 15-year record (2001–2015) of the ratio of nitrate to non-sea-salt sulfate in.pdf,'aura/omi'(1), ,OMNO2d;OMSO2e,,,,0, 2, 0
HMHY4HFU,2018_Sun_A physics-based approach to oversample multi-satellite multispecies.pdf,'aura/omi'(1), ,OMNO2d;OMPIXCOR,,,,0, 2, 0
FG6I3DFC,2018_Kourtidis_A new method for deriving trace gas emission inventories from satellite.pdf,'aura/omi'(5), ,OMNO2d;OMSO2e,OMSO2e;OMI_MINDS_NO2,,,1, 1, 1
IUTVRRDV,2016_Fan_Urbanization and environmental change during the economic transition on the.pdf,'aura/omi'(1), 'merra'(2),OMSO2e;OMNO2d;OMAEROe;MAT1NXFLX;MATMNXSLV,,,,0, 5, 0
PTQ94YPR,2019_Inness_Monitoring and assimilation tests with TROPOMI data in the CAMS system.pdf,'sentinel-5p/tropomi'(3); 'aura/mls'(2); 'aura/omi'(2); 'noaa-19/sbuv/2'(1), ,ML2O3;OMTO3;OMPS_NPP_NMTO3_L2;OMPS_NPP_NMTO3_L3_DAILY;SBUV2N19L2;S5P_L2__O3_TOT;S5P_L2__O3_TOT_HiR,OMTO3e;GozMmlpO3,,,0, 7, 2
AQ984N7H,2019_Zhao_Retrieval of total column and surface NO sub2-sub from Pandora zenith-sky.pdf,'aura/omi'(1), 'geos-chem'(3),OMNO2,,,,0, 1, 0
GH789B22,2020_Cooper_Effects of a priori profile shape assumptions on comparisons between satellite.pdf,, 'geos-chem'(10),OMNO2,,,,0, 1, 0
EVI3747H,2018_Mok_Comparisons of spectral aerosol single scattering albedo in Seoul South Korea.pdf,'aura/omi'(3), ,OMTO3;OMNO2,OMTO3e;OMI_MINDS_NO2,,,0, 2, 2
NSIRW452,2018_Li_Comparison and evaluation of anthropogenic emissions of SO sub2-sub and NO.pdf,'aura/omi'(1), 'geos-chem'(9); 'geos-5'(1),OMSO2;OMNO2,,,,0, 2, 0
EMIHDVGU,2020_Choi_Assessment of NOsub2-sub observations during DISCOVER-AQ and KORUS-AQ field.pdf,'aura/omi'(3); 'aura/mls'(1), 'merra-2'(1); 'merra'(1),OMNO2,OMI_MINDS_NO2,,,0, 1, 1
NYALEFU3,2018_López-Puertas_MIPAS observations of ozone in the middle atmosphere.pdf,'aura/mls'(1), 'merra'(1),ML2O3,,,,0, 1, 0
KSTK8HYX,2016_Field_Indonesian fire activity and smoke pollution in 2015 show persistent nonlinear.pdf,'aura/mls'(1); 'aqua/airs'(1); 'aura/omi'(1); 'aqua/modis'(1); 'terra/modis'(1), ,TRMM_3B42RT;ML2CO;AIRS3STD;AIRX3STD;OMAERUVd;OMTO3d;MOD08_D3;MYD08_D3,,,,0, 8, 0
5NAAD62V,2017_Chen_A review of biomass burning.pdf,'aqua/modis'(7); 'terra/modis'(7); 'aqua/airs'(1); 'aura/omi'(1), 'geos-5'(1),AIRS3STD;MOD08_D3;MYD08_D3,,,,0, 3, 0
VTHED4QL,2019_Emetere_Image Re-processing of Satellite Imageries.pdf,'aura/omi'(2), ,MOD08_D3;OMAERUVd;MIL3DAE,,,,0, 3, 0
4NLCM7RJ,2013_Hitchcock_Statistical Characterization of Arctic Polar-Night Jet Oscillation Events.pdf,'aura/mls'(2), 'merra'(17),ML2T;ML2GPH;MAI6NVANA,,,,0, 3, 0
Y7ZGLI3C,2019_Postylyakov_Comparison of space high-detailed experimental and model data on tropospheric.pdf,'aura/omi'(2), 'gdas'(1),OMNO2,OMI_MINDS_NO2,,,0, 1, 1
QP99A9BF,2019_Postylyakov_Preliminary validation of high-detailed GSA-Resurs-P tropospheric NO2 maps with.pdf,'aura/omi'(2), 'gdas'(1),OMNO2,OMI_MINDS_NO2,,,0, 1, 1
GFERTT9M,2019_Busse_Responses of Salmonella typhimurium LT2 Vibrio harveyi and Cryptosporidium.pdf,'terra/modis'(1), ,OMDOAO3e;MOD08_M3;OMSO2e;OMNO2d;AIRX3STD,,,,0, 5, 0
LSP69BZI,2020_Renuka_Study of mixing ratios of SO2 in a tropical rural environment in south India.pdf,'aura/omi'(1), 'ncep-gfs'(2),OMSO2e,,,,0, 1, 0
VRWBX9GK,2020_Wright_A Comparison of Solar Ultraviolet Radiation Exposure in Urban Canyons in.pdf,, ,OMUVBd,,,,0, 1, 0
GL9H2U3J,2020_Wang_Why is the Indo-Gangetic Plain the region with the largest NHsub3-sub.pdf,'aura/omi'(2), ,OMSO2e;OMNO2d,,,,0, 2, 0
36GMFPJE,2020_Compernolle_Validation of Aura-OMI QA4ECV NO2 climate data records with ground-based DOAS.pdf,'aura/omi----level 1'(1), ,OMNO2;S5P_L2__NO2___;S5P_L2__NO2___HiR,,,,0, 3, 0
AQUTDJRZ,2020_Metya_COVID-19 Lockdowns Improve Air Quality in the South-East Asian Regions as Seen.pdf,'aqua/airs'(1); 'aura/omi'(1); 'aqua/modis'(1); 'terra/modis'(1), ,OMSO2e;OMNO2d,,,,0, 2, 0
WLHG8ZER,2019_Fasnacht_A geometry-dependent surface Lambertian-equivalent reflectivity product for.pdf,'aqua/amsr-e'(2); 'dmsp/ssmis'(1); 'aura/omi'(1); 'aqua/modis'(1), 'geos-5'(4); 'merra-2'(4); 'merra'(4),OMGLER,,,,0, 1, 0
32SY9F2F,2020_Shin_Variations in Ozone Concentration over the Mid-Latitude Region Revealed by.pdf,'aura/omi'(2); 'aura/omi----level 3'(1), 'gdas'(1),OMTO3d;SBUV2N14L2;SBUV2N16L2;SBUV2N17L2;SBUV2N18L2;SBUV2N19L2;SBUV2N14L3zm;SBUV2N16L3zm;SBUV2N17L3zm;SBUV2N18L3zm;SBUV2N19L3zm,OMTO3e,,,0, 11, 1
9GHYDEV7,2019_Strahan_Why Do Antarctic Ozone Recovery Trends Vary.pdf,'aura/mls'(3); 'aura/omi'(1), 'merra'(1); 'geos-5'(1),OMTO3d;TOMSEPL3;TOMSN7L3;OMPS_NPP_NMTO3_L3_DAILY;ML2O3;M2I3NPASM;MAI3CPASM;M2IMNPANA,GozMmlpO3,,,0, 8, 1
SC9I43BL,2016_Han_Vertical structure of foggy haze over the Beijing-Tianjin-Hebei area in January.pdf,'terra/modis'(3); 'aqua/modis'(2); 'aura/omi'(1); 'suomi-npp/omps'(1), ,OMTO3d,,,,0, 1, 0
GTQZ9ZXX,2016_Trinh_Tuning of a convective gravity wave source scheme based on HIRDLS observations.pdf,'aura/hirdls----level 2'(1), 'merra'(15),HIRDLS2;MAT3CPCLD,,,,0, 2, 0
