paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
TKE9RE65,2015_Inness_Data assimilation of satellite-retrieved ozone carbon monoxide and nitrogen.pdf,'aura/mls'(1); 'noaa-17/sbuv/2'(1); 'aura/omi'(1); 'noaa-18/sbuv/2'(1); 'noaa-16/sbuv/2'(1), ,OMNO2d;OMTO3d;ML2O3;SBUV2N16L3zm;SBUV2N17L3zm;SBUV2N18L3zm,OMO3PR;OMI_MINDS_NO2d;OMI_MINDS_NO2;ML2N2O;OMTO3d;OMDOAO3e;GozSmlpN2O;ML2O3;ML2N2O_NRT;OMTO3G;ML3DBCO;OMNO2d;OMTO3e;ML2CO_NRT;OMDOAO3;OMNO2_CPR;MSO3L3zm5;OMNO2;ML2DGG;ML2O3_NRT;GozMmlpO3;OMNO2G;ML2CO,,,3, 3, 20
4WN6V4S4,2019_Ko_Measurements to Determine Mixing State of Black Carbon Emitted From the.pdf,'terra/modis'(2); 'aqua/modis'(2); 'aura/omi'(1), 'gdas'(2),OMPS_NPP_NMTO3_L2;OMAERUV,,,,0, 2, 0
T82YTFLG,2018_McCoy_Predicting decadal trends in cloud droplet number concentration using.pdf,, 'merra'(15),M2TMNXAER;M2T1NXAER;OMSO2e;M2TMNXADG;M2T1NXADG,,,,0, 5, 0
8EPZBBWR,2020_Burney_The downstream air pollution impacts of the transition from coal to natural gas.pdf,, 'merra'(2),AIRS3STM;M2TMNXRAD;OMAERUVd;OMSO2G;OMTO3G,,,,0, 5, 0
MNFDJB8F,2019_Inness_The CAMS reanalysis of atmospheric composition.pdf,'aqua/modis'(2); 'terra/modis'(2); 'noaa-17/sbuv/2'(1); 'aura/mls'(1); 'aura/omi'(1); 'noaa-18/sbuv/2'(1); 'noaa-16/sbuv/2'(1); 'noaa-19/sbuv/2'(1), 'merra'(4); 'merra-2'(1),ML2O3;OMNO2;OMTO3;BUVN04L2;SBUV2N09L2;SBUV2N11L2;SBUV2N14L2;SBUV2N16L2;SBUV2N17L2;SBUV2N18L2;SBUV2N19L2;SBUVN07L2,OMO3PR;OMI_MINDS_NO2d;OMI_MINDS_NO2;ML2N2O;OMTO3d;OMDOAO3e;GozSmlpN2O;ML2O3;ML2N2O_NRT;OMTO3G;ML3DBCO;OMNO2d;OMTO3e;OMDOAO3;ML2CO_NRT;OMNO2_CPR;MSO3L3zm5;OMNO2;ML2DGG;ML2O3_NRT;GozMmlpO3;OMNO2G;ML2CO,,,2, 10, 21
NR6XSUUH,2018_Laughner_The Berkeley High Resolution Tropospheric NO sub2-sub product.pdf,'aqua/modis'(3); 'aura/omi'(2); 'terra/modis----level-1'(1); 'aqua/modis----level-1'(1), 'geos-chem'(3),OMNO2;OMPIXCOR,OMI_MINDS_NO2;OMNO2G;OMNO2_CPR;OMNO2;OMVFPITMET;OMNO2d;MAC06S1;OMMYDCLD;MAM06S0;MAC06S0;MAM07S0;OMUFPITMET;MYD11CM1N;OMI_MINDS_NO2d,,,1, 1, 13
ELX2FEN6,2017_Jääskeläinen_The Aerosol Index and Land Cover Class Based Atmospheric Correction Aerosol.pdf,'terra/modis'(2); 'aqua/modis'(2); 'nimbus-7/toms----level-3'(1), ,TOMSEPL3;TOMSN7L3;OMAEROe;SWDB_L305,,,,0, 4, 0
F7FJJ4B5,2019_du Preez_Spring and summer time ozone and solar ultraviolet radiation variations over.pdf,'aura/omi'(1); 'aura/mls'(1), ,ML2O3;OMNO2;OMTO3G,OMTO3d;OMDOAO3e;ML2DGG;OMTO3e;ML2O3;ML2O3_NRT;OMO3PR;GozMmlpO3;OMTO3G;OMDOAO3,,,2, 1, 8
7UDJRYYH,2018_Fu_Satellite-Observed Impacts of Wildfires on Regional Atmosphere Composition and.pdf,'aqua/modis'(5); 'aura/omi'(5); 'aqua/airs'(2); 'aqua/airs----level 2'(1), ,AIRX2RET;OMAERUV;OMHCHO;OMNO2,OMI_MINDS_NO2;OMNO2G;AIRX2SUP;OMNO2_CPR;AIRH2RET;OMNO2;OMVFPITMET;AIRX2RET;OMNO2d;AIRX3STD;MAC06S1;OMMYDCLD;MAM06S0;MAC06S0;MAM07S0;OMUFPITMET;MYD11CM1N;OMI_MINDS_NO2d,,,2, 2, 16
XHRT3E32,2018_Hickman_Satellite evidence of substantial rain-induced soil emissions of ammonia across.pdf,'aura/omi----level-3'(1), ,OMNO2d;TRMM_3B42_Daily,OMNO2d;OMI_MINDS_NO2d,,,1, 1, 1
