paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
VTMCY8BC,2018_Laiolo_Long-term eruptive trends from space-based thermal and SO2 emissions.pdf,'terra/modis'(2); 'aqua/modis'(1); 'aura/omi'(1), ,OMSO2G;MOD08_M3,MAM06S0;OMMYDCLD;OMSO2;MOD11CM1N;MAM07S0;MAC07S1;OMSO2G;OMSO2_CPR;MAC07S0;MSAQSO2L4;MYD11CM1N;OMSO2e;OMUFPITMET;MSVOLSO2L4;MYD11CM1D;MOD11CM1D;OMVFPITMET;OMPS_NPP_NMSO2_PCA_L2,,,1, 1, 17
TKE9RE65,2015_Inness_Data assimilation of satellite-retrieved ozone carbon monoxide and nitrogen.pdf,'aura/mls'(1); 'noaa-18/sbuv/2'(1); 'noaa-16/sbuv/2'(1); 'aura/omi'(1); 'noaa-17/sbuv/2'(1), ,OMNO2d;OMTO3d;ML2O3;SBUV2N16L3zm;SBUV2N17L3zm;SBUV2N18L3zm,ML3MBO3;MSO3L3zm5;OMTO3d;SBUV2N16O3;OMNO2d;MSLERLSTL3zm;OMNO2;OMI_MINDS_NO2;ML3DZN2O;ML3DBO3;ML2O3;SBUV2N18L2;OMDOAO3e;SBUV2N17L2;ML2CO_NRT;SBUV2N16L3zm;ML3DBN2O;ML3MBN2O;OMNO2G;OMO3PR;ML2CO;ML3DBCO;OMI_MINDS_NO2d;ML2DGG;OMDOAO3;SBUV2N16L2;OMNO2_CPR;ML3MBCO;SBUV2N11O3;OMDOAO3G;ML3DZCO;MSLERNNL3zm;ML2N2O_NRT;OMTO3G;SBUV2N18L3zm;OMTO3e;ML2N2O;ML2O3_NRT;SBUV2N17L3zm;ML3DZO3,,,6, 0, 34
4WN6V4S4,2019_Ko_Measurements to Determine Mixing State of Black Carbon Emitted From the.pdf,'aqua/modis'(2); 'terra/modis'(2); 'aura/omi'(1), 'gdas'(2),OMPS_NPP_NMTO3_L2;OMAERUV,,,,0, 2, 0
T82YTFLG,2018_McCoy_Predicting decadal trends in cloud droplet number concentration using.pdf,, 'merra'(15),M2TMNXAER;M2T1NXAER;OMSO2e;M2TMNXADG;M2T1NXADG,,,,0, 5, 0
8EPZBBWR,2020_Burney_The downstream air pollution impacts of the transition from coal to natural gas.pdf,, 'merra'(2),AIRS3STM;M2TMNXRAD;OMAERUVd;OMSO2G;OMTO3G,,,,0, 5, 0
MNFDJB8F,2019_Inness_The CAMS reanalysis of atmospheric composition.pdf,'terra/modis'(2); 'aqua/modis'(2); 'noaa-18/sbuv/2'(1); 'aura/mls'(1); 'noaa-16/sbuv/2'(1); 'noaa-19/sbuv/2'(1); 'aura/omi'(1); 'noaa-17/sbuv/2'(1), 'merra'(4); 'merra-2'(1),ML2O3;OMNO2;OMTO3;BUVN04L2;SBUV2N09L2;SBUV2N11L2;SBUV2N14L2;SBUV2N16L2;SBUV2N17L2;SBUV2N18L2;SBUV2N19L2;SBUVN07L2,ML3MBO3;MSO3L3zm5;OMTO3d;OMMYDAGEO;SBUV2N16O3;OMNO2d;MSLERLSTL3zm;OMNO2;OMI_MINDS_NO2;ML3DZN2O;ML3DBO3;ML2O3;SBUV2N18L2;OMDOAO3e;SBUV2N17L2;ML2CO_NRT;SBUV2N16L3zm;ML3DBN2O;ML3MBN2O;OMNO2G;OMO3PR;ML2CO;ML3DBCO;OMI_MINDS_NO2d;ML2DGG;AIRSM_CPR_MAT;OMDOAO3;SBUV2N16L2;OMNO2_CPR;MAM07S0;MAC07S1;ML3MBCO;SBUV2N11O3;OMDOAO3G;MSLERNNL3zm;ML3DZCO;ML2N2O_NRT;OMTO3G;SBUV2N18L3zm;SBUV2N19L2;OMMYDCLD;OMTO3e;SBUV2N19L3zm;ML2N2O;MAC07S0;ML2O3_NRT;SBUV2N17L3zm;ML3DZO3,,,6, 6, 42
NR6XSUUH,2018_Laughner_The Berkeley High Resolution Tropospheric NO sub2-sub product.pdf,'aqua/modis'(4); 'aura/omi'(2); 'terra/modis'(1), 'geos-chem'(3),OMNO2;OMPIXCOR,MAM06S0;OMMYDCLD;OMNO2d;OMNO2_CPR;MOD11CM1N;MAM07S0;MAC07S1;OMNO2;OMNO2G;MAC07S0;OMI_MINDS_NO2;MYD11CM1N;OMUFPITMET;MYD11CM1D;MOD11CM1D;OMI_MINDS_NO2d;OMVFPITMET,,,1, 1, 16
ELX2FEN6,2017_Jääskeläinen_The Aerosol Index and Land Cover Class Based Atmospheric Correction Aerosol.pdf,'aqua/modis'(2); 'terra/modis'(2); 'nimbus-7/toms'(1), ,TOMSEPL3;TOMSN7L3;OMAEROe;SWDB_L305,,,,0, 4, 0
F7FJJ4B5,2019_du Preez_Spring and summer time ozone and solar ultraviolet radiation variations over.pdf,'aura/omi'(1); 'aura/mls'(1), ,ML2O3;OMNO2;OMTO3G,ML3MBO3;OMDOAO3;OMTO3d;OMTO3e;OMO3PR;ML2O3_NRT;OMDOAO3G;ML3DBO3;ML2DGG;ML2O3;OMDOAO3e;ML3DZO3;OMTO3G,,,2, 1, 11
7UDJRYYH,2018_Fu_Satellite-Observed Impacts of Wildfires on Regional Atmosphere Composition and.pdf,'aqua/modis'(5); 'aura/omi'(5); 'aqua/airs'(2); 'aqua/airs----level 2'(1), ,AIRX2RET;OMAERUV;OMHCHO;OMNO2,MAM06S0;AIRH2SUP;OMNO2d;OMNO2;AIRH2RET;OMI_MINDS_NO2;OMNO2G;AIRX2RET;AIRABRAD_NRT;OMI_MINDS_NO2d;OMVFPITMET;AIRX2SUP;OMNO2_CPR;MAM07S0;MAC07S1;AIRX3STD;MYD11CM1D;OMUFPITMET;OMMYDCLD;AIRS3STD;AIRABRAD;MAC07S0;MYD11CM1N;AIRHBRAD,,,2, 2, 22
