paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
QSQTDHMN,2019_Hakim_Evaluation of tropospheric ozone and ozone precursors in simulations from the.pdf,'aura/mls'(4); 'aura/omi'(4), 'geos-chem'(1),OMTO3;ML2O3,ML3DZO3;ML2O3;OMO3PR;ML3MBO3;OMDOAO3;OMDOAO3G;ML2O3_NRT;OMTO3e;OMDOAO3e;OMTO3d;OMDOAO3Z;ML3DBO3;ML2DGG;GozMmlpO3;OMTO3G;GozSmlpO3,,,1, 1, 15
8XFSQVXP,2015_Nedoluha_The decrease in mid-stratospheric tropical ozone since 1991.pdf,'aura/mls'(2), ,UARHA2FN;UARHA3AT;ML2O3;ML2N2O,ML3DZO3;ML2O3;ML2N2O;ML3MBO3;ML3DBN2O;ML3MBN2O;ML2N2O_NRT;ML2O3_NRT;GozSmlpN2O;ML3DBO3;ML2DGG;GozMmlpO3;ML3DZN2O;GozMmlpN2O;GozSmlpO3,,,2, 2, 13
VTMCY8BC,2018_Laiolo_Long-term eruptive trends from space-based thermal and SO2 emissions.pdf,'terra/modis'(2); 'aqua/modis'(1); 'aura/omi'(1), ,OMSO2G;MOD08_M3,OMSO2G;OMMYDCLD;MAC06S1;OMSO2_CPR;MOD11CM1D;MAM06S0;MOD11CM1N;MAC06S0;MYD11CM1N;MSAQSO2L4;MAC07S0;OMSO2;OMVFPITMET;MSVOLSO2L4;OMSO2e;OMPS_NPP_NMSO2_PCA_L2;MAM07S0;MYD11CM1D;OMUFPITMET,,,1, 1, 18
TKE9RE65,2015_Inness_Data assimilation of satellite-retrieved ozone carbon monoxide and nitrogen.pdf,'aura/mls'(1); 'noaa-18/sbuv/2'(1); 'noaa-16/sbuv/2'(1); 'aura/omi'(1); 'noaa-17/sbuv/2'(1), ,OMNO2d;OMTO3d;ML2O3;SBUV2N16L3zm;SBUV2N17L3zm;SBUV2N18L3zm,SBUV2N11O3;SBUV2N16L3zm;ML3MBO3;OMI_MINDS_NO2;ML3DBN2O;ML2CO_NRT;SBUV2N18L3zm;OMNO2;OMDOAO3G;ML2N2O_NRT;OMDOAO3e;SBUV2N09O3;OMTO3G;GozSmlpO3;ML2O3;OMNO2G;ML2O3_NRT;OMNO2_CPR;OMTO3e;OMTO3d;SBUV2N16O3;GozMmlpO3;OMNO2d;ML3DZN2O;OMDOAO3Z;ML3DZO3;OMI_MINDS_NO2d;SBUV2N17L3zm;ML3MBN2O;MSO3L3zm5;ML3MBCO;ML3DBCO;ML2DGG;SBUV2N18L2;ML2CO;ML2N2O;ML3DZCO;SBUV2N17L2;OMDOAO3;MSLERLSTL3zm;SBUV2N16L2;GozSmlpN2O;ML3DBO3;MSLERNNL3zm;OMO3PR;GozMmlpN2O,,,6, 0, 40
4WN6V4S4,2019_Ko_Measurements to Determine Mixing State of Black Carbon Emitted From the.pdf,'aqua/modis'(2); 'terra/modis'(2); 'aura/omi'(1), 'gdas'(2),OMPS_NPP_NMTO3_L2;OMAERUV,,,,0, 2, 0
T82YTFLG,2018_McCoy_Predicting decadal trends in cloud droplet number concentration using.pdf,, 'merra'(15),M2TMNXAER;M2T1NXAER;OMSO2e;M2TMNXADG;M2T1NXADG,,,,0, 5, 0
8EPZBBWR,2020_Burney_The downstream air pollution impacts of the transition from coal to natural gas.pdf,, 'merra'(2),AIRS3STM;M2TMNXRAD;OMAERUVd;OMSO2G;OMTO3G,,,,0, 5, 0
MNFDJB8F,2019_Inness_The CAMS reanalysis of atmospheric composition.pdf,'terra/modis'(2); 'aqua/modis'(2); 'noaa-18/sbuv/2'(1); 'aura/mls'(1); 'noaa-16/sbuv/2'(1); 'noaa-19/sbuv/2'(1); 'aura/omi'(1); 'noaa-17/sbuv/2'(1), 'merra'(4); 'merra-2'(1),ML2O3;OMNO2;OMTO3;BUVN04L2;SBUV2N09L2;SBUV2N11L2;SBUV2N14L2;SBUV2N16L2;SBUV2N17L2;SBUV2N18L2;SBUV2N19L2;SBUVN07L2,SBUV2N11O3;SBUV2N16L3zm;ML3MBO3;OMI_MINDS_NO2;ML2CO_NRT;SBUV2N18L3zm;ML3DBN2O;OMDOAO3G;SBUV2N19L2;OMNO2;SBUV2N19L3zm;ML2N2O_NRT;OMDOAO3e;SBUV2N09O3;OMMYDAGEO;OMMYDCLD;OMTO3G;GozSmlpO3;ML2O3;MAC07S1;OMNO2G;ML2O3_NRT;OMTO3e;OMTO3d;OMNO2_CPR;SBUV2N16O3;GozMmlpO3;OMNO2d;ML3DZN2O;AIRSM_CPR_MAT;OMDOAO3Z;ML3DZO3;OMI_MINDS_NO2d;MAC07S0;SBUV2N17L3zm;ML3MBN2O;MSO3L3zm5;ML3MBCO;ML3DBCO;ML2DGG;SBUV2N18L2;ML2CO;ML3DZCO;ML2N2O;SBUV2N17L2;MAM07S0;OMDOAO3;MSLERLSTL3zm;SBUV2N16L2;GozSmlpN2O;ML3DBO3;MSLERNNL3zm;OMO3PR;GozMmlpN2O,,,6, 6, 48
NR6XSUUH,2018_Laughner_The Berkeley High Resolution Tropospheric NO sub2-sub product.pdf,'aqua/modis'(4); 'aura/omi'(2); 'terra/modis'(1), 'geos-chem'(3),OMNO2;OMPIXCOR,MAC06S0;MYD11CM1N;OMI_MINDS_NO2d;MAC07S0;MAM07S0;OMI_MINDS_NO2;MYD11CM1D;OMNO2;OMNO2G;OMVFPITMET;MOD11CM1D;OMNO2_CPR;OMMYDCLD;OMNO2d;MAM06S0;MAC06S1;MOD11CM1N;OMUFPITMET,,,1, 1, 17
ELX2FEN6,2017_Jääskeläinen_The Aerosol Index and Land Cover Class Based Atmospheric Correction Aerosol.pdf,'aqua/modis'(2); 'terra/modis'(2); 'nimbus-7/toms'(1), ,TOMSEPL3;TOMSN7L3;OMAEROe;SWDB_L305,,,,0, 4, 0
