zotero key, pdf key, title, mission/instruments couples, single instruments, models, dois, datasets, dois & datasets mapped
KBWY8TJP,ZCXHGR92,2020_Liu_Tropical Cyclone Temperature Profiles and Cloud Macro--Micro-Physical.pdf,'aqua/airs'(1), 'airs'(17), , , , AIRX2SUP
9U93DP5L,55L8YQYJ,2021_Bayat_Toward operational validation systems for global satellite-based terrestrial.pdf,'terra/modis'(9); 'aqua/modis'(7), 'modis'(39); 'avhrr'(19); 'viirs'(5); 'amsr-e'(4); 'seawifs'(2), 'merra-2'(2); 'penman-monteith'(1), , , LPRM_AMSRE_A_SOILM3; LPRM_TMI_SOILM2
HUI4Z9ER,GRFH7YUY,2020_Wyche_The spatio-temporal evolution of black carbon in the North-West European ‘air.pdf,, 'omi'(1), 'merra'(1); 'merra-2'(1), 
75DBL3VJ,3ZQT6QHF,2020_Papangelis_The Saharan convective boundary layer structure over large scale surface.pdf,'aqua/modis'(2), 'modis'(5), , 
WTTDIIHW,EXT86LQI,2021_Chen_The Role of Vegetation in Flash Drought Occurrence.pdf,, 'modis'(1), 'merra-2'(14), 10.5067/RKPHT8KC1Y1T, , M2T1NXLND
ZAVWMT8K,MTNBIHNF,2021_Taljegard_To Represent Electric Vehicles in Electricity Systems Modelling—Aggregated.pdf,, 'car'(5), 'merra'(3), , , 
THI4F2LC,NN59BPXU,2021_Varotsos_The Signature of the Coronavirus Lockdown in Air Pollution in Greece.pdf,, 'omi'(3); 'car'(1), , , , OMAEROe; OMSO2e; OMAERO; OMNO2; OMSO2; OMNO2d
HQN6YXML,5D9W8FZU,2021_Lieberman_The Role of Inertial Instability in Cross-Hemispheric Coupling.pdf,'aura/mls'(1); 'dmsp/ssmis'(1), 'mls'(9); 'ssmis'(1), 'merra-2'(29), 
N4ILCSHM,ZL8R9LEM,2021_Rollings_The Observed Relationship between Pacific SST Variability and Hadley Cell.pdf,, , 'merra-2'(4), , , M2IMNPASM
LGTHVGQQ,K84MW6CT,2021_Zhang_The exceptionally strong and persistent Arctic stratospheric polar vortex in.pdf,'aura/omi'(1); 'aura/omi----level-3'(1), 'omi'(7), , 10.5067/Aura/OMI/DATA3005, , OMDOAO3e
U8ETT3Y9,K8F7SDR8,2020_Lee_Temporal prediction modeling for rainfall-induced shallow landslide hazards.pdf,, 'pr'(2), 'tmpa'(1), , , TRMM_3B42
DH8E75Y9,HDTVQMCD,2020_Lawal_Temporal evolution of atmospheric parameter-profiling on rain height over two.pdf,'trmm/pr'(6), 'pr'(13), , , , GPM_2APR
HFUDLRUP,F3V3K6KF,2021_Nishiyama_Temporal evolutions of $$-text {N}_2^+$$Meinel (12) band near $$1.pdf,'aura/mls'(5), 'mls'(7); 'ro'(1), , , , ML2GPH; ML2T
Z4LNB7RP,VHPAGI5B,2020_Mey_Temperature and precipitation in the southern Central Andes during the last.pdf,, 'ro'(1); 'modis'(1), , 
738DJD8Q,2MHDVIX8,2020_Sundsdal_Teatime in the Serengeti.pdf,, 'ro'(4), , 
T5TMSW67,U7LVI3WU,2021_Huang_Summertime low clouds mediate the impact of the large-scale circulation on.pdf,'nimbus-7/smmr'(2); 'dmsp/ssmis'(2); 'aqua/modis'(2); 'terra/modis'(2); 'dmsp/ssm/i'(1); 'aqua/airs----level 3'(1), 'airs'(7); 'modis'(3); 'ssmis'(2); 'smmr'(2); 'ssm/i'(1); 'msu'(1); 'hsb'(1), , , , AIRS3STM
BELWQ25L,9A2N9KKX,2020_Zhou_Sub-seasonal variability of surface soil moisture over eastern China.pdf,, , , , , 
RB3TWPSC,I9M9332D,2020_Lenczuk_Study on the inter-annual hydrology-induced deformations in Europe using GRACE.pdf,, , , 
54JSBGPV,N7SC3M22,2021_Li_Spatiotemporal estimation of satellite-borne and ground-level NO2 using full.pdf,'aura/omi'(1); 'aqua/modis'(1); 'terra/modis'(1), 'omi'(6); 'modis'(1); 'tropomi'(1), 'merra'(16), , , OMNO2
8AR3QVZ2,YQCHDYWH,2021_Sengupta_Spatiotemporal dynamics of temperature and precipitation with reference to.pdf,, , , 
767NEZPL,8XSIU6T7,2021_Scully_Spatio-Temporal Dynamics of Plasmodium falciparum and Plasmodium vivax in.pdf,, , , , , 
ZDFZLD6B,5NHSL4U6,2020_Jin_Spatial characteristics and temporal evolution of the relationship between PM2.pdf,'aqua/modis'(4); 'terra/modis'(4); 'terra/modis----level 2'(1); 'aqua/modis----level 2'(1); 'terra/modis----level-2'(1); 'aqua/modis----level-2'(1), 'modis'(14), 'merra-2'(4), 
6LNWEFDL,INJCA8Q9,2020_Park_Source-to-sink sediment fluxes and budget in the Chao Phraya River Thailand.pdf,, , , 10.5067/TRMM/TMPA/MONTH/7, , TRMM_3B43
4IWKQJA3,G9INA92Y,2020_Spennemann_Soil moisture evaluation over the Argentine Pampas using models satellite.pdf,, 'ro'(1), 'gdas'(1), 
Z2M56I8E,6C36XSQU,2021_Yan_SO2 mitigation in China’s coal-fired power plants.pdf,'aura/omi----level 2'(1); 'aura/omi'(1), 'omi'(4), , , , OMSO2
48N9KJGK,5ZNH5I8R,2020_Doughty_Small anomalies in dry-season greenness and chlorophyll fluorescence for Amazon.pdf,'oco-2/oco-2'(11), 'oco-2'(11); 'modis'(4); 'tropomi'(4); 'oco-3'(1), 'tmpa'(1), 
ESGGMZK8,VXLPIWYY,2020_Kshevetskii_Simulation of Propagation of Acoustic-Gravity Waves Generated by Tropospheric.pdf,, 'msu'(1); 'pr'(1), 'merra-2'(4); 'merra'(1), , , 
EMMNTZHF,FC9WBGCD,2020_Pińskwar_Severe Drought in the Spring of 2020 in Poland—More of the Same.pdf,, , , , , TRMM_3B42; TRMM_3B42RT
HQTNJ5S6,KM225IP7,2020_Rao_Seven centuries of reconstructed Brahmaputra River discharge demonstrate.pdf,, , , , , TRMM_3B42; TRMM_3B42RT
ZGGV5J55,YCRNV8GV,2021_Choudhury_Seasonality in power law scaling of convective and stratiform rainfall with.pdf,'trmm/tmi'(2); 'trmm/pr'(1), 'pr'(9); 'tmi'(4); 'rain gauges'(1), , , , TRMM_2A12
8CFV98VE,K2WVEFZ4,2020_Huggannavar_Seasonal Variability of Soil Moisture-Precipitation Feedbacks Over India.pdf,, , 'merra-2'(5); 'merra'(4); 'observation based'(1), , , M2I3NPASM; M2T1NXLND; M2I1NXASM
4XZD5W4M,CPIERM5D,2021_Seo_Secular polar motion observed by GRACE.pdf,, , , , , GLDAS_NOAH10_M
9MICT94V,JWIYQYZL,2021_Strelnikova_Seasonal Cycle of Gravity Wave Potential Energy Densities from Lidar and.pdf,, , 'merra-2'(36), 10.5067/WWQSXQ8IVFW8, , M2I3NVASM
LT235QD4,K6SAXNTD,2020_Klein_Seasonality and Trends of Drivers of Mesoscale Convective Systems in Southern.pdf,, 'rain gauges'(1), 'imerg'(4); 'merra-2'(2), 10.5067/GPM/IMERG/3B-HH/06, , GPM_3IMERGHH
DPPFZBR2,6KNVL5HX,2021_Zhou_Rising Planetary Boundary Layer Height over the Sahara Deserts and Arabian.pdf,, , 'merra-2'(49), 10.5067/LUHPNWAKYIO3; 10.5067/AFOK0TPEVQEK, , M2TUNXSLV; M2TUNXFLX
X4VEDMST,LFZXTLVR,2020_Vargas Buonfiglio_Seasonal Antimicrobial Activity of the Airway.pdf,, , , , , OMUVB; OMUVBd
YJFXCWY6,6AG5GGN9,2021_Parisi_Satellite Monitoring of Environmental Solar Ultraviolet A (UVA) Exposure and.pdf,'aura/omi'(2), 'omi'(55); 'toms'(6); 'iris'(2); 'avhrr'(1), , , , OMAERO; OMAERUV
NBJIC3U8,JU5LR5C3,2021_Beischer_Scope for predicting seasonal variation of the SPCZ with ACCESS-S1.pdf,, 'iris'(1), , , , TRMM_3B43
B4JPZG5D,2KSGELFU,2021_Li_Responses of soil organic carbon to climate change in the Qilian Mountains and.pdf,, 'sim'(3); 'modis'(2), , 10.5067/SXAVCZFAQLNO, , GLDAS_NOAH025_M
ND3A6YNM,9V35DDX9,2020_Abolafia-Rosenzweig_Remotely sensed ensembles of the terrestrial water budget over major global.pdf,, 'pr'(12); 'msu'(1); 'modis'(1), , 10.5067/E7TYRXPJKWOQ, , GLDAS_NOAH025_3H
W45V9PUX,IDN4JXJW,2021_Shen_Regional evaluation of satellite-based methods for identifying leaf unfolding.pdf,, 'modis'(7); 'sim'(2), 'merra'(2), 
KTNSM8E7,MNRYPUIT,2021_Li_Regional contributions to interannual variability of net primary production and.pdf,, 'modis'(14); 'avhrr'(3), 'merra'(1), 10.5067/9SQ1B3ZXP2C5; 10.5067/SXAVCZFAQLNO, , GLDAS_NOAH025_M; GLDAS_NOAH025_M
YFFNCLZU,GA6B4P5L,2020_Banik_Prediction of electrical energy consumption based on machine learning technique.pdf,, , 'merra'(1), , , 
TW33MXF7,6KUAXG42,2021_Dutta_Recent advances in satellite mapping of global air quality.pdf,'terra/modis'(2); 'sentinel-5p/tropomi'(1); 'aqua/modis'(1), 'tropomi'(4); 'modis'(3); 'ro'(2); 'tim'(1); 'car'(1); 'airs'(1); 'omi'(1); 'gmi'(1), , 
8ZS5APJA,42JXKYIU,2020_Ottaviani_Precipitation seasonality promotes acquisitive and variable leaf.pdf,, , , 10.5067/TRMM/TMPA/MONTH/7, , TRMM_3B43
6283F863,9MYDE5DS,2021_Ugolnikov_Postvolcanic Aerosols.pdf,'aura/mls'(1), 'mls'(1); 'pr'(1), , , , ML2T
4EQC2FTN,VB35M66U,2021_Maheshwarkar_Population exposure across central India to PM 2.pdf,'aqua/modis'(2); 'terra/modis'(2), 'modis'(7); 'avhrr'(1), 'merra-2'(19); 'merra'(5); 'geos-5'(2), 
T4S2D2TK,T9WT9JFR,2021_Kawo_Performance evaluation of GPM-IMERG early and late rainfall estimates over Lake.pdf,, 'rain gauges'(7), 'imerg'(59), , , 
QH3YFMQ3,WIH9F5AX,2020_Ma_Performance evaluation and correction of precipitation data using the 20-year.pdf,'trmm/pr'(6); 'trmm/pr----level 3'(1), 'pr'(93); 'gmi'(1); 'dpr'(1), 'imerg'(63); 'tmpa'(48), , , GPM_3IMERGDF; GPM_3IMERGHH
BC3E6LRV,88SUV485,2020_Sanap_On the dynamics of cyclogenesis rapid intensification and recurvature of the.pdf,, , 'imerg'(2), 
MFC3UKR8,G243ZP8T,2020_Das_Multiplatform observations of stratosphere-troposphere exchange over the.pdf,'aura/mls'(4), 'mls'(13); 'pr'(1), 'gdas'(2), 10.5067/Aura/MLS/DATA2009, , ML2H2O
8Z4FATCW,42KVAE6M,2020_Taylor_OCO-3 early mission operations and initial (vEarly) XCO2 and SIF retrievals.pdf,'oco-2/oco-2'(122); 'iss/oco-3'(25), 'oco-3'(187); 'oco-2'(122); 'sams'(14); 'tropomi'(3); 'modis'(2); 'ace-fts'(1), 'geos-5'(1), 10.5067/W8QGIYNKS3JC; 10.5067/1RJW1YMLW2F0; 10.5067/AJMZO5O3TGUR, , OCO2_L2_Lite_SIF; OCO2_L2_Lite_FP; OCO2_L1B_Science; OCO3_L2_Standard
DEWC5IFR,RD2NSS5P,2021_Jiang_Monitoring time-varying terrestrial water storage changes using daily GNSS.pdf,, 'rain gauges'(1), , 
F55XSX9I,J5L4ZBYQ,2021_Bhat_Measurement and Modelling of Particulate Pollution over Kashmir Himalaya India.pdf,'aqua/modis'(3); 'terra/modis'(3), 'modis'(17); 'seviri'(1), 'merra-2'(22), 
HHINTPPG,PNFEX9DY,2020_KC_Multi-hazard climate risk projections for the United States.pdf,, , , 
JPIJIVMQ,YPKGXZEU,2020_Bell_Major geomorphic events and natural hazards during monsoonal precipitation 2018.pdf,, 'modis'(4), , 10.5067/GPM/IMERG/3B-HH/06, , GPM_3IMERGHH
Y94FLGUX,G7FSPFFB,2021_Malakar_Machine-learning-based regional-scale groundwater level prediction using GRACE.pdf,, , , 
VKPPYY8Z,2VZ7W2M3,2020_Feng_Long-term trends and variations in haze-related weather conditions in north.pdf,, , 'merra-2'(6), 
ZQVM9FUS,G8XUMSKH,2020_Shaheen_Long-term AOD trend assessment over the Eastern Mediterranean region.pdf,'aqua/modis'(5); 'terra/modis'(5); 'terra/modis----level 2'(1); 'aqua/modis----level 2'(1), 'modis'(64); 'avhrr'(2); 'omi'(1); 'seawifs'(1), 'merra-2'(79); 'geos-5'(1); 'merra'(1), 
3KJS2LIW,T7AUG6ZB,2021_Zhang_Long Island enhanced aerosol event during 2018 LISTOS.pdf,, 'modis'(1), 'merra-2'(1), 
FA27HGPE,99JYPCVZ,2021_Sobel_Large-scale state and evolution of the atmosphere and ocean during PISTON 2018.pdf,, 'omi'(7); 'ahi'(2), , 
UVBUVM2S,YGSHHJI4,2020_Wang_Large Chinese land carbon sink estimated from atmospheric carbon dioxide data.pdf,'oco-2/oco-2'(8); 'terra/modis'(1), 'oco-2'(8); 'modis'(2); 'ssm/i'(1); 'amsr-e'(1); 'windsat'(1), 'geos-chem'(3); 'geos-5'(1), 10.5067/W8QGIYNKS3JC, , ACOS_L2_Lite_FP; OCO2_L2_Lite_FP
XSKN2VCR,G9D8QUE9,2020_Bondur_Joint Analysis of Anomalies of Different Geophysical Fields Recorded from.pdf,'aqua/airs'(3), 'airs'(5), , , , 
P2JGNSW7,YVFD5F2C,2021_Kumar_Intriguing aspects of Asian Summer Monsoon Anticyclone Ozone variability from.pdf,'aura/mls'(1), 'mls'(19), , 10.5067/Aura/MLS/DATA/3209; 10.5067/Aura/MLS/DATA/3217; 10.5067/Aura/MLS/DATA/3208, , ML3MBGPH; ML3MBO3; ML3MBH2O
PWP2TN8L,BMM9YGGD,2021_Li_Investigating Decadal Changes of Multiple Hydrological Products and Land-Cover.pdf,'aqua/modis'(3); 'terra/modis'(3), 'modis'(6), 'penman-monteith'(1); 'gdas'(1), , , 
954PCLV7,KT4E45F7,2020_Sireesha_Insight into the precipitation behavior of gridded precipitation data in the.pdf,, , 'merra'(35); 'tmpa'(2), 
4N6KRELZ,AIGXE8Q7,2020_Bekaert_InSAR-based detection method for mapping and monitoring slow-moving landslides.pdf,, , , , , GPM_3IMERGDF
EHDB2XM6,J8PHWNZ6,2021_Kang_InSAR monitoring of creeping landslides in mountainous regions.pdf,, , , 10.5067/GPM/IMERGDF/DAY/06, , GPM_3IMERGDF
S7E5EYSJ,5PW5YPEK,2021_Luo_Infrared satellite-derived sea surface skin temperature sensitivity to aerosol.pdf,'terra/modis'(8); 'aqua/modis'(2), 'modis'(35); 'avhrr'(1); 'viirs'(1), 'merra-2'(24), 
Y3FHVGHJ,CNFZLTE8,2021_Bousquet_Influence of surface water variations on VOD and biomass estimates from passive.pdf,'aqua/amsr-e'(1); 'gcom-w1/amsr2'(1), 'modis'(4); 'amsr2'(2); 'amsr-e'(1); 'ssm/i'(1); 'avhrr'(1), , 10.5067/M5DTR2QUYLS2, , LPRM_AMSR2_A_SOILM3; LPRM_AMSR2_D_SOILM3
PM8XFWRK,HFUHFGDH,2021_Nayak_Incorporation of Surface Observations in the Land Data Assimilation System and.pdf,, , 'merra'(4), 
XPFB7VV9,52ZUH5EU,2021_Zhang_Improving the Resolution and Accuracy of Groundwater Level Anomalies Using the.pdf,, 'ro'(1), , , , 
8KACM333,2XBW5AM8,2020_Yin_Improved water storage estimates within the North China Plain by assimilating.pdf,'trmm/pr'(4), 'pr'(13); 'sim'(1), , 
ENBQDFEY,HYQT8F7I,2020_Li_Improved ET assimilation through incorporating SMAP soil moisture observations.pdf,, 'modis'(17), 'penman-monteith'(1); 'merra'(1), 
R7CAN3R7,QJ83IYKT,2021_Castro_Implications of the temporal variations of geoid heights over South American.pdf,, , , 
G44HDLZW,ADH2BGP4,2021_Bieri_Impacts of Large-Scale Soil Moisture Anomalies on the Hydroclimate of.pdf,, , 'merra-2'(28), 10.5067/RKPHT8KC1Y1T; 10.5067/7MCPBJ41Y0K6, , M2T1NXFLX; M2T1NXLND
B33ZXWN7,4D66AM5U,2021_Fang_Impacts of the Kuroshio Intrusion through the Luzon Strait on the Local.pdf,, 'amsr-e'(1); 'avhrr'(1); 'modis'(1); 'rain gauges'(1); 'ssm/i'(1); 'infrared radiometers'(1), 'tmpa'(1), , , TRMM_3B42; TRMM_3B42_Daily
BDK6GPVU,LK9N3X23,2021_Edwards_Impact of various air mass types on cloud condensation nuclei concentrations.pdf,, 'modis'(1), 'merra-2'(10); 'environmental modeling'(1), , , M2T1NXFLX; M2T1NXAER
WXBBYDR4,P6DJZRNF,2021_Pérot_Impact of the major SSWs of February 2018 and January 2019 on the middle.pdf,'scisat-1/ace/ace-fts'(1), 'mls'(4); 'ace-fts'(3), 'merra-2'(12); 'merra'(2), 10.5067/SUOQESM06LPK, , M2T3NVASM; M2T3NVASM
NV32P7UL,S4YCFTPS,2020_Pradhan_Impact of Sampling of GPM Orbital Data on Streamflow Simulations.pdf,'gpm/dpr'(2); 'gpm/dpr----level 2'(2); 'gpm/gmi'(1), 'dpr'(38); 'gmi'(2); 'pr'(1), 'imerg'(3), 
VE3A8U8Z,WZB94Y2Q,2021_Guo_Identifying contributions of climatic and atmospheric changes to autumn.pdf,, , , 
M6CE8NS6,NFBTJYLD,2020_Bhimala_Identification of vegetation responses to soil moisture rainfall and LULC.pdf,'terra/modis'(2); 'trmm/tmi'(1); 'aqua/modis'(1), 'modis'(4); 'tmi'(1); 'msu'(1); 'amsr-e'(1); 'pem'(1), 'tmpa'(1), , , TRMM_3B43
365RHQWF,65WQICXG,2020_Li_Groundwater recharge estimated by land surface models.pdf,, , , 
P556JWP9,AQDTFPWL,2020_Li_Global-scale assessment and inter-comparison of recently developed-reprocessed.pdf,'gcom-w1/amsr2'(1); 'trmm/tmi'(1), 'amsr2'(22); 'modis'(13); 'amsr-e'(10); 'tmi'(2); 'windsat'(2); 'ssm/i'(1), 'geos-5'(1); 'imerg'(1), 10.5067/M5DTR2QUYLS2, , LPRM_AMSR2_A_SOILM3
FLS53CBZ,XQVHRSNK,2021_Mangla_First steps towards an all-sky assimilation framework for tropical cyclone.pdf,'gpm/gmi'(1); 'trmm/tmi'(1), 'gmi'(30); 'tmi'(2), , 
HC8R5T9M,VF57SZND,2020_Pourmansouri_Evaluation of vegetation and evapotranspiration changes in Iran using satellite.pdf,, 'modis'(17); 'avhrr'(1), 'penman-monteith'(5), , , 
9HAF2P3R,RV4CUMRH,2020_Mukhopadhyay_Evaluation of the convective mass flux profiles associated with cumulus.pdf,, , 'merra'(2), 
LTAGCP4I,E2MK4DI4,2021_Kumar_Evaluation of INSAT-3D-derived Hydro-Estimator and INSAT Multi-Spectral Rain.pdf,, , 'imerg'(11), 
74GH6BH6,69ERAWN2,2021_Noor_Evaluating intensity-duration-frequency (IDF) curves of satellite-based.pdf,, 'rain gauges'(1), 'imerg'(1), , , TRMM_3B42
KY3CCJLT,QTIA4YRH,2021_Mohan_Evaluating different lightning parameterization schemes to simulate lightning.pdf,, 'pr'(6), 'tmpa'(2), 
LJQMGVPL,IV7RA7R6,2021_Xing_Estimation of cross-boundary aerosol flux over the Edmonton-Calgary Corridor in.pdf,, , 'merra-2'(4); 'geos-5'(1); 'merra'(1), 10.5067/2YOIQB5C3ACN, , M2TMNPTRB
R6PPNILX,UT3KLA8Q,2020_Chao_Estimation of component contributions to total terrestrial water storage change.pdf,, 'modis'(2), , , , TRMM_3B43
SXZ69KIT,AY75UAA7,2020_Bolaño-Ortiz_ENSO and Light-Absorbing Impurities and Their Impact on Snow Albedo in the.pdf,'terra/modis'(1), 'modis'(7), 'merra-2'(6); 'merra'(2); 'gdas'(1), 10.5067/KLICLTZ8EM9D; 10.5067/FH9A0MLJPC7N, , M2TMNXAER; M2T1NXAER
P3N8RV8J,Z6CC3ZUF,2020_Shikwambana_Emissions of toxic gases and aerosols in southern Africa observed during the.pdf,'aqua/modis'(1); 'terra/modis'(1); 'sentinel-5p/tropomi'(1), 'omi'(6); 'airs'(6); 'modis'(5); 'tropomi'(3); 'toms'(1), 'merra-2'(5); 'merra'(1), 
DVPWMD8V,TNYLLKU4,2021_Bikkina_Dry-deposition of inorganic and organic nitrogen aerosols to the Arabian Sea.pdf,, 'modis'(7), , 
JF5DVPQQ,3QYHV46J,2021_Mahmud_Drought dynamics of Northwestern Teesta Floodplain of Bangladesh.pdf,'trmm/tmi'(1), 'modis'(3); 'tmi'(2), , 10.5067/TTO0VJF2FSYR; 10.5067/8CHFMAWJQTCP; 10.5067/SXAVCZFAQLNO, , GLDAS_NOAH10_M; GPCPMON; LPRM_TMI_DY_SOILM3; GLDAS_NOAH025_M
LA82D4QV,KE88TT2V,2020_Yang_Diurnal Sea surface temperature response to tropical cyclone Dahlia in the.pdf,, , 'merra'(7), 
WWP3LGCR,KGARI3IM,2020_Senanayake_Disaggregating satellite soil moisture products based on soil thermal inertia.pdf,'aqua/modis'(5); 'terra/modis'(1), 'modis'(19), 'observation based'(2); 'gdas'(1), , , GLDAS_NOAH025_3H
JYPBJR7N,H79CJQIL,2020_Wilks_Diatom and coccolithophore species fluxes in the Subtropical Frontal Zone east.pdf,, 'scr'(112); 'seawifs'(2); 'avhrr'(2), 'nobm'(1), 
JDEZ3PS3,2H6EN9ND,2021_Mroz_Cross-validation of active and passive microwave snowfall products over the.pdf,'gpm/dpr'(3); 'gpm/gmi'(2), 'dpr'(30); 'gmi'(16); 'nexrad'(4); 'pr'(4); 'atms'(1), , 
L43Q2PSE,WQUR8SLS,2021_Liu_Credibility and statistical characteristics of CAMSRA and MERRA-2 AOD.pdf,'aqua/modis'(3); 'terra/modis'(3); 'terra/modis----level 2'(1); 'aqua/modis----level 2'(1), 'modis'(49), 'merra-2'(44); 'merra'(2); 'geos-5'(2), 10.5067/FH9A0MLJPC7N, , M2TMNXAER
UEAJLARE,C4M7C7D6,2021_Rahaman_COVID-19’s lockdown effect on air quality in Indian cities using air quality.pdf,, 'omi'(10); 'airs'(8), 'merra-2'(9), 
X5HPS7V6,QBKTPY7E,2020_Vinogradova_Concentration of Black Carbon in the Near-Surface Atmosphere in the.pdf,'terra/modis'(1), 'modis'(1), 'merra-2'(9); 'geos-5'(2), , , M2T1NXAER
Q56ASJVZ,B3JE5BCV,2020_Fuwan_Comprehensive validation of the latest IMERG V06 precipitation estimates over a.pdf,, 'rain gauges'(3); 'dpr'(1); 'gmi'(1), 'imerg'(39); 'tmpa'(19), 
AK9N4922,GZRYRSN2,2020_Gore_Comparisons of upper air ozone at a coastal and urban site and the impacts of.pdf,, 'airs'(2); 'modis'(2), 'merra-2'(4); 'gdas'(1), 10.5067/VJAFPLI1CSIV; 10.5067/Aqua/AIRS/DATA303, , AIRS3STD; M2T1NXSLV
AUF4UWIC,XDVMZ3VI,2020_Yao_Contribution of Tropical Cyclones to Precipitation around Reclaimed Islands in.pdf,, , 'imerg'(12), , , 
D7NPZ3L3,HCHWSGW3,2021_Yuan_Comparison of Two Multisatellite Algorithms for Estimation of Tropical Cyclone.pdf,'trmm/pr'(1), 'rain gauges'(7); 'pr'(1); 'tmi'(1); 'msu'(1); 'amsr-e'(1); 'ssmis'(1); 'mhs'(1); 'atms'(1); 'gmi'(1); 'saphir'(1), 'tmpa'(93); 'imerg'(22), 
L8435P9H,KBMA4W5Z,2021_Lin_Characterization of intra-continental smoke transport and impact on New York.pdf,'aqua/modis'(1); 'terra/modis'(1); 'suomi-npp/viirs'(1); 'aqua/airs'(1), 'airs'(7); 'omps'(5); 'modis'(3); 'viirs'(3), 'merra-2'(15); 'geos-5'(1), 
SJMJYRFQ,F3UR4L4G,2021_Ramachandran_Black carbon aerosols over source vs.pdf,, , 'merra-2'(22); 'merra'(1); 'tmpa'(1), , , TRMM_3B42; TRMM_3B42_Daily
