zotero key, pdf key, title, mission/instruments, models, dois, datasets, dois & datasets mapped
WIQ6P659,LSS6N3YR,2021_Buchholz_Air pollution trends measured from Terra.pdf,'terra/modis'(7); 'aqua/modis'(4); 'aqua/airs'(2); 'suomi-npp/cris'(1), , 10.5067/Aqua/AIRS/DATA202; 10.5067/9NPOTPIPLMAW, SNPPCrISL1B, AIRS2RET; SNPPCrISL1B
XHJK3AVU,Y7BDYL5W,2021_Yu_A Comprehensive Evaluation of Latest GPM IMERG V06 Early Late and Final.pdf,'gpm/gmi'(1); 'gpm/dpr'(1), 'imerg'(60); 'merra-2'(1); 'merra'(1), ,,
CUYZJEF2,RHVDJPKZ,2021_Li_The semi-diurnal cycle of deep convective systems over Eastern China and its.pdf,'himawari-8/ahi----level-2'(2); 'gpm/gmi'(1); 'gpm/dpr'(1), 'imerg'(4), ,,
PAKQFIEI,V2LKUZDS,2020_Palash_The record 2017 flood in South Asia.pdf,, 'tmpa'(11); 'imerg'(2), 10.5067/TRMM/TMPA/DAY/7, GPM_3IMERGDE, GPM_3IMERGDE; TRMM_3B42_Daily
F6EN35XT,2JYBPBXD,2020_Ahmed_Hydrologic Assessment of TRMM and GPM-Based Precipitation Products in.pdf,, 'imerg'(45); 'tmpa'(9), ,,
TFFLU9XR,LCTKSLDK,2020_Frappart_Groundwater Storage Changes in the Major North African Transboundary Aquifer.pdf,'trmm/virs'(1); 'trmm/tmi'(1); 'trmm/pr'(1), 'tmpa'(1), , TRMM_3B43, TRMM_3B43
NCP4JX9E,8FV9HCRK,2021_Molero_Effect of Vertical Profile of Aerosols on the Local Shortwave Radiative Forcing.pdf,, , ,,
LQNHCX3J,FHPTD6I4,2021_Nogueira_Dust arriving in the Amazon basin over the past 7500 years came from diverse.pdf,, , 10.5067/Aura/OMI/DATA3001, , OMTO3d
P5B46DC6,A98JTYZU,2020_Sarangi_Dust dominates high-altitude snow darkening and melt over high-mountain Asia.pdf,'terra/modis'(1), 'merra'(12); 'merra-2'(8); 'gdas'(2); 'geos-5'(1), ,,
93LCTQ88,5YCJ8ERK,2021_Zhang_Downscaling Groundwater Storage Data in China to a 1-km Resolution Using.pdf,, , ,,
V5TBGHB9,WCDLZCZC,2021_Vishwakarma_Downscaling GRACE total water storage change using partial least squares.pdf,, 'merra'(2), ,,
5SHRATXW,ZM33YW3K,2020_Wu_Divergent effects of climate change on future groundwater availability in key.pdf,, , ,,
6RSXMJIT,LTEZBD9N,2020_Du_Characterization of the Recharge-Storage-Runoff Process of the Yangtze River.pdf,, 'tmpa'(1), ,,
PV928Q94,YLXVHAQR,2021_Shikwambana_Observations of Emissions and the Influence of Meteorological Conditions during.pdf,'sentinel-5p/tropomi'(3), 'merra-2'(7); 'merra'(7), ,,
L2UP4CMY,YCIZDRA2,2020_Filonchyk_Impact Assessment of COVID-19 on Variations of SO2 NO2 CO and AOD over East.pdf,'aura/omi'(2); 'aqua/airs'(2); 'aqua/modis'(2); 'aura/omi----level 3'(1); 'aqua/modis----level 2'(1); 'terra/modis----level 2'(1), , ,,
5WK2FSGU,LK6SRY36,2021_Kalluri_Impact of aerosols on surface ozone during COVID-19 pandemic in southern India.pdf,'aura/omi'(1); 'terra/modis----level 3'(1); 'aqua/modis----level 3'(1), , , OMNO2d; OMNO2, OMNO2d; OMNO2
3LU549RM,84XHIT8V,2020_Corral_Source Apportionment of Aerosol at a Coastal Site and Relationships with.pdf,'aqua/modis'(1), 'merra-2'(1); 'merra'(1), ,,
RCNIMRNV,DRX9VV22,2020_Rizza_Analysis of the ETNA 2015 Eruption Using WRF–Chem Model and Satellite.pdf,'aura/omi'(3); 'meteosat/seviri'(1), , ,,
IA79KKTM,S4K5X2QG,2021_Singh_Simulation of an extreme dust episode using WRF-CHEM based on optimal ensemble.pdf,'terra/modis'(2), 'merra'(36); 'merra-2'(26), 10.5067/KLICLTZ8EM9D, , M2T1NXAER
5T8UQDCY,YLDEZLC8,2021_Mostafa_The impact of COVID 19 on air pollution levels and other environmental.pdf,'aura/omi'(1); 'sentinel-5p/tropomi'(1), , ,,
M4SV2FBG,QI3LZK9R,2020_Shah_Effect of Ocean Warming on Cloud Properties Over India and Adjoining Oceanic.pdf,'aqua/modis'(2); 'terra/modis'(2); 'terra/modis----level 3'(1), 'merra'(3); 'geos-5'(2); 'merra-2'(2), ,,
WYDXJF96,DXADKCEL,2020_Pullwer_Particulate trace metal fluxes in the center of an oceanic desert.pdf,, , ,,
LB2AS8SH,IINSUWQ3,2021_Banik_An Improved ANN Model for Prediction of Solar Radiation Using Machine Learning.pdf,, 'merra'(1), ,,
AFY9JUN3,P8MGYH5R,2020_Koster_Using a Simple Water Balance Framework to Quantify the Impact of Soil Moisture.pdf,, 'merra'(52); 'merra-2'(51), 10.5067/RKPHT8KC1Y1T; 10.5067/7MCPBJ41Y0K6; 10.5067/VJAFPLI1CSIV; 10.5067/Q9QMY5PBNV1T, , M2T1NXSLV; M2T1NXLND; M2T1NXFLX; M2T1NXRAD
GC8T35RZ,Y8SNLQX3,2020_Jaber_TRMM 3B43 Product-Based Spatial and Temporal Anatomy of Precipitation Trends.pdf,, 'tmpa'(1), 10.5067/TRMM/TMPA/MONTH/7, , TRMM_3B43
RMF3CTUQ,ELEVHAAZ,2020_Wang_Drought evaluation over Yangtze River Basin based on weighted water storage.pdf,, 'imerg'(2), ,,
WFMSH4KE,WS28YV5P,2020_Zhuang_Impact of track forecast error on tropical cyclone quantitative precipitation.pdf,, 'imerg'(1), , GPM_3IMERGHH, GPM_3IMERGHH
M2EAK87D,GH95YA3I,2020_Boluwade_Spatial-Temporal Assessment of Satellite-Based Rainfall Estimates in Different.pdf,, 'tmpa'(2); 'imerg'(1), , TRMM_3B43, TRMM_3B43
7699VEJN,AIS24DD3,2020_Nguyen_Characterizing a landmark biomass-burning event and its implication for aging.pdf,'aqua/modis'(2), 'merra-2'(9); 'merra'(9); 'gdas'(1), ,,
TP34IC85,2HJITQDX,2020_Lefèvre_Amazon River propagation evidenced by a CO2 decrease at 8°N 38°W in September.pdf,'aqua/modis'(1), , ,,
S2B72CVQ,UX5458P9,2020_Yamazaki_Whole Atmosphere Model Simulations of Ultrafast Kelvin Wave Effects in the.pdf,'aura/mls'(16); 'aura/mls----level 2'(1), , ,,
WLQ9YYUI,32SY9F2F,2020_Shin_Variations in Ozone Concentration over the Mid-Latitude Region Revealed by.pdf,'aura/omi'(2); 'aura/omi----level 3'(1), 'gdas'(1), 10.5067/Aura/OMI/DATA3001, , OMTO3d
R7W2T55H,ERN4WQKF,2020_Chapa_A multi-parameter method to quantify the potential of roof rainwater harvesting.pdf,, , ,,
Z8JEGZB9,397XLMDA,2020_Yeditha_Forecasting of extreme flood events using different satellite precipitation.pdf,, 'imerg'(1), ,,
SXI82IZS,999K6B3H,2020_Ye_Dependence of tropical cyclone damage on maximum wind speed and socioeconomic.pdf,, 'tmpa'(2), ,,
CYQ5D8WF,XXXXTIDS,2020_Goble_Who Received the Most Rain Today.pdf,, , ,,
EP95GDKA,HXL3RF38,2020_Chul Jung_Towards a Soil Moisture Drought Monitoring System for South Korea.pdf,'trmm/tmi'(1); 'dmsp/ssm/i'(1); 'aqua/amsr-e'(1), 'merra-2'(9); 'merra'(9); 'observation based'(2); 'gdas'(1), ,,
DDLF4XSJ,PIS6HIWM,2020_Duc_Spatial-Temporal Pattern of Black Carbon (BC) Emission from Biomass Burning and.pdf,'aqua/modis'(5); 'terra/modis'(3), 'merra'(13); 'merra-2'(11); 'geos-5'(6); 'gdas'(1), ,,
LFMGSPEJ,K2ZRMSRZ,2020_Qiao_Satellite Observed Positive Impacts of Fog on Vegetation.pdf,'terra/modis'(1), , ,,
