zotero key, pdf key, title, mission/instruments, models, dois, datasets, dois & datasets mapped
MVVGVHJ8,B2I6L9SM,2016_Rohtash_Study on Comparison of Indian Ozonesonde Data with Satellite Data.pdf,'uars/mls'(29); 'aura/mls'(19); 'noaa-18/sbuv/2'(2); 'nimbus-7/sbuv'(1); 'aura/omi'(1); 'noaa-16/sbuv/2'(1), , 
NIGNE4MX,BJRF2MEB,2010_Damiani_The hydroxyl radical as an indicator of SEP fluxes in the high-latitude.pdf,'aura/mls'(2), , 
MLD2EWVI,8WJYND4F,2015_Gao_The influence of solar spectral variations on global radiative balance.pdf,'aura/mls'(17); 'aura/mls----level 2'(1), , 
BRK9SN6G,E89UA45Y,2018_Sato_The Momentum Budget in the Stratosphere Mesosphere and Lower Thermosphere.pdf,'aura/mls'(17); 'aura/mls----level 2'(1), , 
9TIYJLRK,CEVE9E6M,2015_Frankland_The uptake of HNO3 on meteoric smoke analogues.pdf,'aura/mls'(1), , 
TNQD8P5G,9HC25M2V,2017_Jain_Transport of water vapour over the Tibetan Plateau as inferred from the model.pdf,'aura/mls'(5), , 
B9TF6SM5,4N9BFHJ7,2018_Bernath_Trends in stratospheric HCl from the ACE satellite mission.pdf,'uars/haloe'(1); 'aura/mls'(1), , 
WC2RVFIU,99HDZJD3,2013_Su_Tropical Clouds and Circulation Changes during the 2006-07 and 2009-10 El Niños.pdf,'aqua/modis'(1), , 
4MBK4NSH,3CPRITTJ,2019_David_Tropospheric ozone over the Indian subcontinent from 2000 to 2015.pdf,, 'geos-chem'(14); 'merra'(2), 
K94AKW9J,M2NR863D,2015_Yan_Validation of Aura Microwave Limb Sounder water vapor and ozone profiles over.pdf,'aura/mls'(7), , 
UNWVRW8T,DWLMSSLK,2015_Fine_Variability and sources of surface ozone at rural sites in Nevada USA.pdf,, 'gdas'(1), 
NLGF6Y34,ZLDWCNJF,2012_Das_Variability of mesopause temperature derived from two independent methods using.pdf,'aura/mls'(2), , 
DBZDZJ5A,UUCTVE5Y,2018_Sitnov_Vertical structure of temperature variations over European Russia in 2010.pdf,'aura/mls'(2), , 
FTWMFNWL,SYBA2274,2009_Li_What drives the observed variability of HCN in the troposphere and lower.pdf,'aura/mls'(7), 'geos-chem'(24); 'geos-5'(4), 
895F26ZR,VQC6CBUZ,2016_Sioris_Water vapour variability in the high-latitude upper troposphere – Part 2.pdf,'aura/mls'(1), , 
WJ5XL83J,S9EZK93R,2018_Noël_Water vapour and methane coupling in the stratosphere observed using SCIAMACHY.pdf,'uars/haloe'(1), , 
ASDMHS4N,GICWBXCC,2008_Flury_Water vapor transport in the lower mesosphere of the subtropics.pdf,'aura/mls'(8), , 
AFVR8UN3,ILJHCTB6,2015_Dionisi_Water vapor observations up to the lower stratosphere through the Raman lidar.pdf,'aura/mls'(1), , 
F4Z6T9U3,CP7EF2BJ,2011_Bhawar_Variation of upper tropospheric clouds and water vapor over the Indian ocean.pdf,'aura/mls'(1), , 
EIXRVAJR,N2AR6Z8U,2016_Liu_Using beryllium-7 to assess cross-tropopause transport in global models.pdf,, 'geos-chem'(4), 
CM9IU9GC,UFLQQYXC,2005_Folkins_The Vertical Structure of Tropical Convection and Its Impact on the Budgets of.pdf,, 'geos-chem'(2), 
GEK2D4BV,SGFU2QGF,2014_Clarisse_The 2011 Nabro eruption a SO2 plume height analysis using IASI measurements.pdf,, 'gdas'(1), 
EBM4YPX9,RERPGFGZ,2009_Meek_Summer planetary-scale oscillations.pdf,'aura/mls'(6), , 
9H2F3E8Q,I5XTBFPM,2008_Nilsson_Simultaneous observations of Polar Mesosphere Summer Echoes at two different.pdf,'aura/mls'(9), , 
9ZC8I38B,GNSX8RML,2015_Tschanz_Signatures of the 2-day wave and sudden stratospheric warmings in Arctic water.pdf,'aura/mls'(3), , 
MJMK6YQT,66AVP9CR,2010_Fadnavis_Seasonal stratospheric intrusion of ozone in the upper troposphere over India.pdf,'aura/mls'(1), , 
UV4DLJS6,DQBUT3ME,2016_Ern_Satellite observations of middle atmosphere gravity waveabsolute momentum flux.pdf,'aura/mls'(4); 'aura/hirdls'(1); 'aura/mls----level 2'(1); 'aura/hirdls----level 2'(1), , 
