paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
HEERJW5W,2013_Brakebusch_Evaluation of Whole Atmosphere Community Climate Model simulations of ozone.pdf,'aura/mls'(1), ,ML2T;ML2O3;ML2CLO;ML2HCL;ML2H2O;ML2HNO3;ML2N2O,GozMmlpHCl;ML2CLO;ML2N2O;ML2H2O;ML2HNO3;ML2O3;ML2T,,,6, 1, 1
4D736Q6C,2013_Hoppel_Evaluation of SSMIS Upper Atmosphere Sounding Channels for High-Altitude Data.pdf,'dmsp/ssmis'(4); 'aura/mls'(3), 'geos-5'(1),ML2T,ML2T,,,1, 0, 0
JG2SPCGB,2016_Huang_Evaluation of UTLS carbon monoxide simulations in GMI and GEOS-Chem chemical.pdf,'aura/mls'(4), 'geos-chem'(65); 'merra'(4),ML2CO;ML2IWC,ML3DBOH;ML2CO,,,1, 1, 1
QBKJ5G23,2017_Lu_First Observations of Short-Period Eastward Propagating Planetary Waves From.pdf,'aura/mls'(2), 'merra'(1),ML2T,ML2T,,,1, 0, 0
7VCB322L,2017_Stober_Exceptionally strong summer-like zonal wind reversal in the upper mesosphere.pdf,'aura/mls'(2); 'aura/mls----level 2'(1), ,ML2T;ML2GPH,ML2T,,,1, 1, 0
F4MGQ24E,2017_Thompson_First Reprocessing of Southern Hemisphere Additional Ozonesondes (SHADOZ) Ozone.pdf,'aura/omi'(1); 'aura/mls'(1), ,OMTO3d;OMTO3e;TOMSEPL3;OMPS_NPP_NMTO3_L3_DAILY,OMUFPITMET;OMTO3e;ML2O3;ML2T,,,1, 3, 3
KP385BU4,2017_Witte_First reprocessing of Southern Hemisphere ADditional OZonesondes (SHADOZ).pdf,'aura/mls'(5); 'ep-toms/toms'(4); 'aura/omi'(4), ,OMTO3;OMTO3d;OMTO3e;TOMSEPL2;TOMSEPL3;ML2O3,ML2O3;OMTO3e;TOMSEPL2,,,3, 3, 0
WR4DYPE8,2017_Yi_First observation of mesosphere response to the solar wind high-speed streams.pdf,'aura/mls'(4), ,ML2T,ML2T,,,1, 0, 0
IELZWMJG,2018_Ball_Evidence for a continuous decline in lower stratospheric ozone offsetting ozone.pdf,'aura/omi'(2); 'aura/mls'(2), ,OMTO3;ML2O3;GozMmlpO3;GozSmlpO3,OMTO3e;ML2O3,,,1, 3, 1
YVQP7DWG,2005_Manney_EOS Microwave Limb Sounder observations of the Antarctic polar vortex breakup.pdf,'aura/mls'(3); 'uars/mls'(2), ,ML2N2O;ML2HCl;ML2O3,GozMmlpHCl;GozMmlpH2O;ML2N2O;ML2H2O;GozMmlpO3;ML2O3,,,2, 1, 4
EWJ7TVBX,2006_Jiménez_EOS MLS observations of dehydration in the 2004–2005 polar winters.pdf,'uars/mls'(4), ,ML2H2O;ML2T;UARML3AT;UARML3AL,GozMmlpH2O;UARML3AL,,,1, 3, 1
23U6CG2K,2006_Manney_EOS Microwave Limb Sounder observations of “frozen-in” anticyclonic air in.pdf,, ,ML2N2O;ML2H2O;ML2O3,,,,0, 3, 0
VE339VNI,2007_Feng_Equatorial Kelvin waves as revealed by EOS Microwave Limb Sounder observations.pdf,'uars/mls'(5); 'aura/mls'(2), ,ML2T;ML2O3,GozMmlpO3;ML2O3;UARML3AL;ML2T,,,2, 0, 2
53BFGQ9H,2011_Hendricks_Effects of ice nuclei on cirrus clouds in a global climate model.pdf,'aura/mls'(1), ,ML2IWC,,,,0, 1, 0
WQU4Z379,2012_Jiang_Evaluation of cloud and water vapor simulations in CMIP5 climate models using.pdf,'aura/mls'(5); 'aqua/airs'(4); 'aqua/amsr-e'(2); 'aqua/modis'(2), ,ML2IWC;ML2H2O;AIRX3STD,MAM05S0;AIRX3STD;ML2H2O,,,2, 1, 1
IX8W3AZH,2012_Nakatani_Enhanced Mid-Latitude Tropospheric Column Ozone over East Asia.pdf,'aura/omi'(2); 'aura/mls'(2), ,ML2O3;OMTO3,OMTO3e;ML2O3,,,1, 1, 1
B2BR4CJM,2015_Jiang_Evaluating the Diurnal Cycle of Upper-Tropospheric Ice Clouds in Climate Models.pdf,'aura/mls'(8), 'merra'(13); 'geos-5'(1),ML2IWC,,,,0, 1, 0
